t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.663108884480735128e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.376616106235641013e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.690356230556815831e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.164089705567619148e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.020962411127246838e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.397736930565523394e-01
6.000000000000000000e+00,9.596733584316294308e-02,2.184731050161596855e-01
7.000000000000000000e+00,3.383546645478812120e-01,6.664796892327515820e-01
8.000000000000000000e+00,8.730960635536306746e-01,8.691990787929420037e-01
9.000000000000000000e+00,4.321173767070621841e-01,4.400417255123372229e-01
1.000000000000000000e+01,9.570286028739894979e-01,9.632364263919592773e-01
1.100000000000000000e+01,1.603869390046918919e-01,1.417586128784886768e-01
1.200000000000000000e+01,5.251855783254487653e-01,4.733181324045876437e-01
1.300000000000000000e+01,9.725261779132093887e-01,9.750344949023777019e-01
1.400000000000000000e+01,1.042041436282625522e-01,9.776530123658311311e-02
1.500000000000000000e+01,3.640479963079555903e-01,3.445533951634107694e-01
1.600000000000000000e+01,9.029165054992615014e-01,8.826887262254992095e-01
1.700000000000000000e+01,3.418673294254279682e-01,4.046447789609723955e-01
1.800000000000000000e+01,8.774768281381200019e-01,9.370832569163187742e-01
1.900000000000000000e+01,4.192938524532584532e-01,2.265683639017233020e-01
2.000000000000000000e+01,9.495974192178379125e-01,6.820014062713273262e-01
2.100000000000000000e+01,1.866624264673728828e-01,8.449295525088000858e-01
2.200000000000000000e+01,5.920963035494734017e-01,5.098772024043158879e-01
2.300000000000000000e+01,9.419212564028406343e-01,9.789384516304977524e-01
2.400000000000000000e+01,2.133518522434056652e-01,8.648309662615449867e-02
2.500000000000000000e+01,6.545480736120832255e-01,3.138704840721846523e-01
2.600000000000000000e+01,8.818480824768969439e-01,8.427636343075679548e-01
2.700000000000000000e+01,4.063489634439959586e-01,5.196348368621261926e-01
2.800000000000000000e+01,9.407949850727453933e-01,9.742544428827422109e-01
2.900000000000000000e+01,2.172291464254008375e-01,8.636740950112731241e-02
3.000000000000000000e+01,6.631585130379011872e-01,3.122920003424098923e-01
3.100000000000000000e+01,8.711792685307180317e-01,8.324849120625215093e-01
3.200000000000000000e+01,4.376812073907043743e-01,5.492466720799802360e-01
3.300000000000000000e+01,9.598538355421063484e-01,9.567988356352978840e-01
3.400000000000000000e+01,1.502843547551322712e-01,1.256683703034715549e-01
3.500000000000000000e+01,4.980259731367667198e-01,4.372772492344552120e-01
3.600000000000000000e+01,9.749848025499787685e-01,9.719898169538998545e-01
3.700000000000000000e+01,9.511880565157496137e-02,1.082629557530259135e-01
3.800000000000000000e+01,3.356777520056721809e-01,3.724468288570319530e-01
3.900000000000000000e+01,8.696929753749534919e-01,9.049588479367516314e-01
4.000000000000000000e+01,4.419757054378147254e-01,3.311323478542886889e-01
4.100000000000000000e+01,9.618694068381868911e-01,8.682865637716634666e-01
4.200000000000000000e+01,1.430389390050714471e-01,4.416758750162950165e-01
4.300000000000000000e+01,4.780573236401621240e-01,9.629171420353577204e-01
4.400000000000000000e+01,9.731222239212528047e-01,1.420984522133954542e-01
