t,original,RCoutput
0.000000000000000000e+00,8.914941198156047797e-01,8.786136868977241221e-01
1.000000000000000000e+00,3.772561811842390922e-01,4.206392908997331759e-01
2.000000000000000000e+00,9.162424242758422377e-01,9.500984271328278830e-01
3.000000000000000000e+00,2.992947525085820071e-01,1.855389633763206980e-01
4.000000000000000000e+00,8.178978741546936160e-01,5.871677952632836650e-01
5.000000000000000000e+00,5.808696722709136839e-01,9.448694293788744147e-01
6.000000000000000000e+00,9.494943748165004527e-01,1.934923196761118014e-01
7.000000000000000000e+00,1.870237473324612709e-01,6.103853583976417418e-01
8.000000000000000000e+00,5.929788745381213699e-01,9.330801906371428700e-01
9.000000000000000000e+00,9.412842226695347092e-01,2.475838082749111102e-01
1.000000000000000000e+01,2.155461158094836016e-01,7.191889156191386689e-01
1.100000000000000000e+01,6.594353522988203320e-01,7.827807802717519081e-01
1.200000000000000000e+01,8.758634369056690350e-01,6.585139631644714164e-01
1.300000000000000000e+01,4.240340395100867799e-01,8.764440125575951868e-01
1.400000000000000000e+01,9.524937741026953120e-01,4.167570886302884858e-01
1.500000000000000000e+01,1.764725991533658833e-01,9.608920930239568392e-01
1.600000000000000000e+01,5.667870815155432451e-01,1.506126540112520118e-01
1.700000000000000000e+01,9.576039943962810774e-01,5.019823423552560726e-01
1.800000000000000000e+01,1.583344788190165775e-01,9.720328996548746048e-01
1.900000000000000000e+01,5.197322193808950885e-01,9.882397421240707303e-02
2.000000000000000000e+01,9.734814941213865147e-01,3.615960406013303263e-01
2.100000000000000000e+01,1.006795714258597596e-01,9.022475592908554276e-01
2.200000000000000000e+01,3.531184617611233811e-01,3.435405499857755451e-01
2.300000000000000000e+01,8.908606735258675080e-01,8.799828255738990634e-01
2.400000000000000000e+01,3.791889421745303634e-01,4.107892997603483920e-01
2.500000000000000000e+01,9.180782843976550422e-01,9.468420934987840099e-01
2.600000000000000000e+01,2.933211376489425204e-01,1.979048919217358815e-01
2.700000000000000000e+01,8.084070066433632906e-01,6.221330040360331104e-01
2.800000000000000000e+01,6.040519611877938067e-01,9.199465506662845016e-01
2.900000000000000000e+01,9.327754385545981020e-01,2.863420248201156149e-01
3.000000000000000000e+01,2.445511371571136017e-01,7.979946570525275895e-01
3.100000000000000000e+01,7.205089260418772179e-01,6.279843777259568327e-01
3.200000000000000000e+01,7.853656727898458145e-01,9.109239768801629111e-01
3.300000000000000000e+01,6.574090878934747417e-01,3.171126465294977770e-01
3.400000000000000000e+01,8.783672782893228170e-01,8.417227887142573195e-01
3.500000000000000000e+01,4.166689906077275518e-01,5.145205862037984801e-01
3.600000000000000000e+01,9.479181772072935441e-01,9.769640299852357934e-01
3.700000000000000000e+01,1.925402954564527369e-01,9.621738317757921877e-02
3.800000000000000000e+01,6.063272673197790397e-01,3.362406296388167348e-01
3.900000000000000000e+01,9.309085976748020519e-01,8.638161652589460004e-01
4.000000000000000000e+01,2.508393437547487559e-01,4.630023900488717814e-01
4.100000000000000000e+01,7.328839727797994419e-01,9.704881602100914328e-01
4.200000000000000000e+01,7.634837153669606913e-01,1.075552713018255169e-01
4.300000000000000000e+01,7.042476937720475449e-01,3.803124514821885072e-01
4.400000000000000000e+01,8.123032303963195755e-01,9.167027153474416323e-01
4.500000000000000000e+01,5.946200999076909355e-01,2.926974792980741036e-01
4.600000000000000000e+01,9.400834431044885475e-01,8.064168059206027195e-01
4.700000000000000000e+01,2.196735961106636992e-01,6.063598636017242249e-01
4.800000000000000000e+01,6.685267184016434605e-01,9.332609995819654003e-01
4.900000000000000000e+01,8.642351062206153900e-01,2.473859467612045115e-01
5.000000000000000000e+01,4.575978708461824196e-01,7.260813404395323190e-01
5.100000000000000000e+01,9.679880318285696283e-01,7.735882978331316551e-01
5.200000000000000000e+01,1.208500880543646322e-01,6.813192575982331967e-01
5.300000000000000000e+01,4.143568426593061127e-01,8.442572465995099584e-01
