t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.639285731651014544e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.391066680499649877e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.659201743958290010e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.290067688769358512e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.385903277106191211e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.595574425479895808e-01
6.000000000000000000e+00,9.596733584316294308e-02,1.513083222898625735e-01
7.000000000000000000e+00,3.383546645478812120e-01,5.008124294632114726e-01
8.000000000000000000e+00,8.730960635536306746e-01,9.750742292646954468e-01
9.000000000000000000e+00,4.321173767070621841e-01,9.543801636076043593e-02
1.000000000000000000e+01,9.570286028739894979e-01,3.402319544615464153e-01
1.100000000000000000e+01,1.603869390046918919e-01,8.756824061030750173e-01
1.200000000000000000e+01,5.251855783254487653e-01,4.261216243249918989e-01
1.300000000000000000e+01,9.725261779132093887e-01,9.516590419000641177e-01
1.400000000000000000e+01,1.042041436282625522e-01,1.796155424920886645e-01
1.500000000000000000e+01,3.640479963079555903e-01,5.706862470026967671e-01
1.600000000000000000e+01,9.029165054992615014e-01,9.520125497864526665e-01
1.700000000000000000e+01,3.418673294254279682e-01,1.799125005600341609e-01
1.800000000000000000e+01,8.774768281381200019e-01,5.731862391469100260e-01
1.900000000000000000e+01,4.192938524532584532e-01,9.547361123305595498e-01
2.000000000000000000e+01,9.495974192178379125e-01,1.704453496510831556e-01
2.100000000000000000e+01,1.866624264673728828e-01,5.500613349171992184e-01
2.200000000000000000e+01,5.920963035494734017e-01,9.646723218609594142e-01
2.300000000000000000e+01,9.419212564028406343e-01,1.355180215220572748e-01
2.400000000000000000e+01,2.133518522434056652e-01,4.556087077035506638e-01
2.500000000000000000e+01,6.545480736120832255e-01,9.657913084984119934e-01
2.600000000000000000e+01,8.818480824768969439e-01,1.262497651977536606e-01
2.700000000000000000e+01,4.063489634439959586e-01,4.325797918066784931e-01
2.800000000000000000e+01,9.407949850727453933e-01,9.591679335265839157e-01
2.900000000000000000e+01,2.172291464254008375e-01,1.509024381422623406e-01
3.000000000000000000e+01,6.631585130379011872e-01,5.029136491693257938e-01
3.100000000000000000e+01,8.711792685307180317e-01,9.745303806362555221e-01
3.200000000000000000e+01,4.376812073907043743e-01,1.023261347478827687e-01
3.300000000000000000e+01,9.598538355421063484e-01,3.542141524480646453e-01
3.400000000000000000e+01,1.502843547551322712e-01,8.919024190676259067e-01
3.500000000000000000e+01,4.980259731367667198e-01,3.768952856912690663e-01
3.600000000000000000e+01,9.749848025499787685e-01,9.146322562652828836e-01
3.700000000000000000e+01,9.511880565157496137e-02,3.060174061726801398e-01
