t,original
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,3.896099999999999997e-03
2.000000000000000042e-03,7.784399999999999480e-03
3.000000000000000062e-03,1.166490000000000062e-02
4.000000000000000083e-03,1.553759999999999863e-02
5.000000000000000104e-03,1.940249999999999961e-02
6.000000000000000125e-03,2.325960000000000180e-02
7.000000000000000146e-03,2.710890000000000175e-02
8.000000000000000167e-03,3.095039999999999944e-02
9.000000000000001055e-03,3.478410000000000529e-02
1.000000000000000194e-02,3.861000000000000543e-02
1.100000000000000283e-02,4.242810000000001025e-02
1.200000000000000372e-02,4.623840000000001282e-02
1.300000000000000461e-02,5.004090000000001315e-02
1.400000000000000550e-02,5.383560000000002510e-02
1.500000000000000638e-02,5.762250000000002093e-02
1.600000000000000727e-02,6.140160000000002144e-02
1.700000000000000816e-02,6.517290000000001970e-02
1.800000000000000905e-02,6.893640000000003654e-02
1.900000000000000994e-02,7.269210000000003724e-02
2.000000000000001082e-02,7.644000000000003570e-02
2.100000000000001171e-02,8.018010000000004578e-02
2.200000000000001260e-02,8.391240000000003973e-02
2.300000000000001349e-02,8.763690000000005920e-02
2.400000000000001438e-02,9.135360000000004865e-02
2.500000000000001527e-02,9.506250000000004974e-02
2.600000000000001615e-02,9.876360000000006245e-02
2.700000000000001704e-02,1.024569000000000590e-01
2.800000000000001793e-02,1.061424000000000534e-01
2.900000000000001882e-02,1.098201000000000732e-01
3.000000000000001971e-02,1.134900000000000769e-01
3.100000000000002059e-02,1.171521000000000645e-01
3.200000000000002148e-02,1.208064000000000776e-01
3.300000000000002237e-02,1.244529000000000885e-01
3.400000000000002326e-02,1.280916000000000832e-01
3.500000000000002415e-02,1.317225000000000756e-01
3.600000000000002504e-02,1.353456000000000936e-01
3.700000000000002592e-02,1.389609000000000816e-01
3.800000000000002681e-02,1.425684000000000951e-01
3.900000000000002770e-02,1.461681000000000785e-01
4.000000000000002859e-02,1.497600000000000875e-01
4.100000000000002948e-02,1.533441000000000942e-01
4.200000000000003036e-02,1.569204000000000987e-01
4.300000000000003125e-02,1.604889000000001287e-01
4.400000000000003214e-02,1.640496000000001009e-01
4.500000000000003303e-02,1.676025000000001264e-01
4.600000000000003392e-02,1.711476000000000941e-01
4.700000000000003481e-02,1.746849000000001151e-01
4.800000000000003569e-02,1.782144000000001338e-01
4.900000000000003658e-02,1.817361000000001225e-01
5.000000000000003747e-02,1.852500000000001368e-01
5.100000000000003836e-02,1.887561000000001210e-01
5.200000000000003925e-02,1.922544000000001307e-01
5.300000000000004013e-02,1.957449000000001382e-01
5.400000000000004102e-02,1.992276000000001435e-01
5.500000000000004191e-02,2.027025000000001465e-01
5.600000000000004280e-02,2.061696000000001194e-01
5.700000000000004369e-02,2.096289000000001457e-01
5.800000000000004458e-02,2.130804000000001697e-01
5.900000000000004546e-02,2.165241000000001359e-01
6.000000000000004635e-02,2.199600000000001554e-01
6.100000000000004724e-02,2.233881000000001449e-01
6.200000000000004813e-02,2.268084000000001599e-01
6.300000000000004208e-02,2.302209000000001449e-01
6.400000000000004297e-02,2.336256000000001276e-01
6.500000000000004385e-02,2.370225000000001359e-01
6.600000000000004474e-02,2.404116000000001696e-01
6.700000000000004563e-02,2.437929000000001734e-01
6.800000000000004652e-02,2.471664000000001193e-01
6.900000000000004741e-02,2.505321000000001463e-01
7.000000000000004829e-02,2.538900000000001711e-01
7.100000000000004918e-02,2.572401000000001936e-01
7.200000000000005007e-02,2.605824000000001583e-01
7.300000000000005096e-02,2.639169000000001208e-01
7.400000000000005185e-02,2.672436000000001366e-01
7.500000000000005274e-02,2.705625000000001501e-01
7.600000000000005362e-02,2.738736000000001614e-01
7.700000000000005451e-02,2.771769000000001704e-01
7.800000000000005540e-02,2.804724000000001771e-01
7.900000000000005629e-02,2.837601000000001816e-01
8.000000000000005718e-02,2.870400000000001839e-01
8.100000000000005806e-02,2.903121000000001839e-01
8.200000000000005895e-02,2.935764000000001817e-01
8.300000000000005984e-02,2.968329000000001772e-01
8.400000000000006073e-02,3.000816000000001704e-01
8.500000000000006162e-02,3.033225000000002169e-01
8.600000000000006251e-02,3.065556000000002057e-01
8.700000000000006339e-02,3.097809000000001922e-01
8.800000000000006428e-02,3.129984000000001765e-01
8.900000000000006517e-02,3.162081000000002140e-01
9.000000000000006606e-02,3.194100000000001938e-01
9.100000000000006695e-02,3.226041000000002268e-01
9.200000000000006783e-02,3.257904000000002021e-01
9.300000000000006872e-02,3.289689000000001751e-01
9.400000000000006961e-02,3.321396000000002013e-01
9.500000000000007050e-02,3.353025000000002254e-01
9.600000000000007139e-02,3.384576000000002471e-01
9.700000000000007228e-02,3.416049000000002112e-01
9.800000000000007316e-02,3.447444000000002284e-01
9.900000000000007405e-02,3.478761000000001880e-01
1.000000000000000749e-01,3.510000000000002007e-01
1.010000000000000758e-01,3.541161000000002668e-01
1.020000000000000767e-01,3.572244000000002195e-01
1.030000000000000776e-01,3.603249000000002256e-01
1.040000000000000785e-01,3.634176000000002293e-01
1.050000000000000794e-01,3.665025000000002309e-01
1.060000000000000803e-01,3.695796000000002302e-01
1.070000000000000812e-01,3.726489000000002272e-01
1.080000000000000820e-01,3.757104000000002220e-01
1.090000000000000829e-01,3.787641000000002145e-01
1.100000000000000838e-01,3.818100000000002603e-01
1.110000000000000847e-01,3.848481000000002483e-01
1.120000000000000856e-01,3.878784000000002341e-01
1.130000000000000865e-01,3.909009000000002176e-01
1.140000000000000874e-01,3.939156000000002544e-01
1.150000000000000883e-01,3.969225000000002335e-01
1.160000000000000892e-01,3.999216000000002658e-01
1.170000000000000900e-01,4.029129000000002403e-01
1.180000000000000909e-01,4.058964000000002681e-01
1.190000000000000918e-01,4.088721000000002381e-01
1.200000000000000927e-01,4.118400000000002614e-01
1.210000000000000936e-01,4.148001000000002825e-01
1.220000000000000945e-01,4.177524000000002458e-01
1.230000000000000954e-01,4.206969000000002623e-01
1.240000000000000963e-01,4.236336000000002766e-01
1.250000000000000833e-01,4.265625000000002331e-01
1.260000000000000842e-01,4.294836000000002429e-01
1.270000000000000850e-01,4.323969000000001950e-01
1.280000000000000859e-01,4.353024000000002003e-01
1.290000000000000868e-01,4.382001000000002033e-01
1.300000000000000877e-01,4.410900000000002597e-01
1.310000000000000886e-01,4.439721000000002582e-01
1.320000000000000895e-01,4.468464000000002545e-01
1.330000000000000904e-01,4.497129000000002486e-01
1.340000000000000913e-01,4.525716000000002959e-01
1.350000000000000921e-01,4.554225000000001744e-01
1.360000000000000930e-01,4.582656000000002172e-01
1.370000000000000939e-01,4.611009000000002023e-01
1.380000000000000948e-01,4.639284000000002406e-01
1.390000000000000957e-01,4.667481000000002211e-01
1.400000000000000966e-01,4.695600000000002550e-01
1.410000000000000975e-01,4.723641000000002865e-01
1.420000000000000984e-01,4.751604000000002603e-01
1.430000000000000993e-01,4.779489000000002874e-01
1.440000000000001001e-01,4.807296000000003122e-01
1.450000000000001010e-01,4.835025000000002238e-01
1.460000000000001019e-01,4.862676000000002441e-01
1.470000000000001028e-01,4.890249000000002622e-01
1.480000000000001037e-01,4.917744000000002225e-01
1.490000000000001046e-01,4.945161000000002360e-01
1.500000000000001055e-01,4.972500000000002474e-01
1.510000000000001064e-01,4.999761000000002564e-01
1.520000000000001072e-01,5.026944000000003188e-01
1.530000000000001081e-01,5.054049000000002678e-01
1.540000000000001090e-01,5.081076000000003257e-01
1.550000000000001099e-01,5.108025000000002702e-01
1.560000000000001108e-01,5.134896000000002125e-01
1.570000000000001117e-01,5.161689000000002636e-01
1.580000000000001126e-01,5.188404000000003125e-01
1.590000000000001135e-01,5.215041000000002480e-01
1.600000000000001144e-01,5.241600000000002924e-01
1.610000000000001152e-01,5.268081000000003344e-01
1.620000000000001161e-01,5.294484000000002633e-01
1.630000000000001170e-01,5.320809000000003008e-01
1.640000000000001179e-01,5.347056000000002252e-01
1.650000000000001188e-01,5.373225000000002582e-01
1.660000000000001197e-01,5.399316000000002891e-01
1.670000000000001206e-01,5.425329000000003177e-01
1.680000000000001215e-01,5.451264000000002330e-01
