t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.733356452478709286e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.579298819897280381e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.640036768340136675e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.364823558419505645e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.612213541274234885e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.691825993864888744e-01
6.000000000000000000e+00,9.596733584316294308e-02,1.225188625906206141e-01
7.000000000000000000e+00,3.383546645478812120e-01,4.191346800880442203e-01
8.000000000000000000e+00,8.730960635536306746e-01,9.498157090216281517e-01
9.000000000000000000e+00,4.321173767070621841e-01,1.887125491139087785e-01
1.000000000000000000e+01,9.570286028739894979e-01,5.966165835248116167e-01
1.100000000000000000e+01,1.603869390046918919e-01,9.386166014191381635e-01
1.200000000000000000e+01,5.251855783254487653e-01,2.208239893865275860e-01
1.300000000000000000e+01,9.725261779132093887e-01,6.701517481237981855e-01
1.400000000000000000e+01,1.042041436282625522e-01,8.647759632642255667e-01
1.500000000000000000e+01,3.640479963079555903e-01,4.497289926181764486e-01
1.600000000000000000e+01,9.029165054992615014e-01,9.656803572853736028e-01
1.700000000000000000e+01,3.418673294254279682e-01,1.335512101079388003e-01
1.800000000000000000e+01,8.774768281381200019e-01,4.490962325690679435e-01
1.900000000000000000e+01,4.192938524532584532e-01,9.643341228276147703e-01
2.000000000000000000e+01,9.495974192178379125e-01,1.383630884504238878e-01
2.100000000000000000e+01,1.866624264673728828e-01,4.633749162773108665e-01
2.200000000000000000e+01,5.920963035494734017e-01,9.697554532310945774e-01
2.300000000000000000e+01,9.419212564028406343e-01,1.192323512116573170e-01
2.400000000000000000e+01,2.133518522434056652e-01,4.112828199371616478e-01
2.500000000000000000e+01,6.545480736120832255e-01,9.449003046171453590e-01
2.600000000000000000e+01,8.818480824768969439e-01,2.035182515977993489e-01
2.700000000000000000e+01,4.063489634439959586e-01,6.353460967417765559e-01
2.800000000000000000e+01,9.407949850727453933e-01,9.044804549741165545e-01
2.900000000000000000e+01,2.172291464254008375e-01,3.313202231153482558e-01
3.000000000000000000e+01,6.631585130379011872e-01,8.643242493468417109e-01
3.100000000000000000e+01,8.711792685307180317e-01,4.607222837283746486e-01
3.200000000000000000e+01,4.376812073907043743e-01,9.670053092629675717e-01
3.300000000000000000e+01,9.598538355421063484e-01,1.290513721735457864e-01
3.400000000000000000e+01,1.502843547551322712e-01,4.359187187536672781e-01
3.500000000000000000e+01,4.980259731367667198e-01,9.618219979925743957e-01
3.600000000000000000e+01,9.749848025499787685e-01,1.465987959839978316e-01
3.700000000000000000e+01,9.511880565157496137e-02,4.870178328610919039e-01
3.800000000000000000e+01,3.356777520056721809e-01,9.757993809339504665e-01
3.900000000000000000e+01,8.696929753749534919e-01,9.718234935679426201e-02
4.000000000000000000e+01,4.419757054378147254e-01,3.434270631627658332e-01
4.100000000000000000e+01,9.618694068381868911e-01,8.765341860606161717e-01
4.200000000000000000e+01,1.430389390050714471e-01,4.241207907833937085e-01
4.300000000000000000e+01,4.780573236401621240e-01,9.537640386407755244e-01
4.400000000000000000e+01,9.731222239212528047e-01,1.706145656349278283e-01
4.500000000000000000e+01,1.020059088040508877e-01,5.553543307220891734e-01
4.600000000000000000e+01,3.572427431551311039e-01,9.675044391220879447e-01
4.700000000000000000e+01,8.955194259106997734e-01,1.249836446007233093e-01
4.800000000000000000e+01,3.649010965363548298e-01,4.251442078965963489e-01
4.900000000000000000e+01,9.038183165033907285e-01,9.564611419051844976e-01
5.000000000000000000e+01,3.390299922998326609e-01,1.659779138713108892e-01
5.100000000000000000e+01,8.739457608219314277e-01,5.380060066880529845e-01
5.200000000000000000e+01,4.296418150568966920e-01,9.724257420827120413e-01
5.300000000000000000e+01,9.556939306648969401e-01,1.092528353396229335e-01
