t,original,RCoutput
0.000000000000000000e+00,7.876452704519675274e-01,8.040513429490312447e-01
1.000000000000000000e+00,1.175199816936778052e-01,1.292221491144491807e-01
2.000000000000000000e+00,1.216958256599394828e+00,1.249928259961496479e+00
3.000000000000000000e+00,-1.038126363119510565e+00,-1.064044913615736832e+00
4.000000000000000000e+00,-1.437014071454201791e-01,-1.853252617567306970e-01
5.000000000000000000e+00,6.596519588823435143e-01,7.029091334966519611e-01
6.000000000000000000e+00,3.476925882561358039e-01,3.704743266151897529e-01
7.000000000000000000e+00,1.028649397365152041e+00,9.805376791356188448e-01
8.000000000000000000e+00,-3.770596393027256799e-01,-2.867493722859855154e-01
9.000000000000000000e+00,1.109551258982003352e+00,1.155875740172140453e+00
1.000000000000000000e+01,-8.366634866227858902e-01,-9.957927792558916025e-01
1.100000000000000000e+01,3.528572719076856767e-01,-1.621771451773668105e-02
1.200000000000000000e+01,5.746893979397760255e-01,6.633154599759123471e-01
1.300000000000000000e+01,6.434821158261705421e-01,4.356555770549874751e-01
1.400000000000000000e+01,5.927098926385576672e-01,9.690270782100376401e-01
1.500000000000000000e+01,7.012176111835963788e-01,-1.331107134173326045e-01
1.600000000000000000e+01,4.894243742639262651e-01,1.238089167831372350e+00
1.700000000000000000e+01,8.750145779819887837e-01,-1.203314377014554459e+00
1.800000000000000000e+01,7.491659592578067683e-02,-5.984288649003914884e-01
1.900000000000000000e+01,1.254646878511447294e+00,1.238079813324475253e-01
2.000000000000000000e+01,-1.181319326884191057e+00,8.211966243055226489e-01
2.100000000000000000e+01,-5.773274293447312466e-01,1.708890155008013778e-01
2.200000000000000000e+01,1.789744569914288319e-01,1.302767982705541616e+00
2.300000000000000000e+01,7.819571724390530498e-01,-1.121880308489011213e+00
2.400000000000000000e+01,1.976525097569981626e-01,-4.607519351611486513e-01
2.500000000000000000e+01,1.179894031273179600e+00,4.441979701432856587e-01
2.600000000000000000e+01,-8.897141421206054002e-01,5.835277853155576011e-01
2.700000000000000000e+01,2.457404528167873026e-01,5.474493053829121436e-01
2.800000000000000000e+01,6.485420391529788109e-01,5.941768829799025653e-01
2.900000000000000000e+01,4.848726486768507593e-01,5.175406406843352514e-01
3.000000000000000000e+01,8.654205321370269655e-01,7.781327258739398900e-01
3.100000000000000000e+01,9.692801818098642497e-02,2.027485184993285117e-01
3.200000000000000000e+01,1.246473102649217068e+00,1.129433346941720373e+00
3.300000000000000000e+01,-1.146094868424855973e+00,-8.191143206573334723e-01
3.400000000000000000e+01,-4.650048956069379180e-01,3.921935010231401009e-01
3.500000000000000000e+01,3.534501653587563408e-01,5.005520640948990518e-01
3.600000000000000000e+01,6.856007041689335946e-01,8.153501752694274352e-01
3.700000000000000000e+01,4.479673938279142842e-01,1.678409716825637332e-01
3.800000000000000000e+01,9.247355109445168919e-01,1.201183047070407461e+00
3.900000000000000000e+01,-6.279985313416910908e-02,-9.718850065068629362e-01
4.000000000000000000e+01,1.271899303108212642e+00,1.160091046061495490e-02
4.100000000000000000e+01,-1.283658928086270468e+00,7.162763467260830907e-01
4.200000000000000000e+01,-9.253225501853661328e-01,2.388950576698061212e-01
4.300000000000000000e+01,-5.838082290600501434e-01,1.199192288521059524e+00
4.400000000000000000e+01,2.452383672988655006e-01,-8.928487552152066797e-01
4.500000000000000000e+01,7.406589317684064699e-01,2.041811218947877649e-01
4.600000000000000000e+01,3.055655956980158350e-01,7.232455265574557757e-01
4.700000000000000000e+01,1.091479212946525390e+00,3.031011760813147049e-01
4.800000000000000000e+01,-5.761879425027082169e-01,1.091337067255612858e+00
4.900000000000000000e+01,8.626542007642516996e-01,-6.148781522371624675e-01
5.000000000000000000e+01,-2.146975608855061501e-01,7.770764755030477033e-01
5.100000000000000000e+01,1.194263200519015466e+00,1.585140387255234984e-02
