t,original,RCoutput
0.000000000000000000e+00,2.234723924822470953e-02,3.052047732432911165e+00
1.000000000000000000e+00,1.266000215804664375e+00,9.283217148654907547e-01
2.000000000000000000e+00,-1.237154993209972131e+00,-5.163011748343699914e-01
3.000000000000000000e+00,-7.629734033727131326e-01,-1.017292899152254737e+00
4.000000000000000000e+00,-1.861262779187888294e-01,-1.353788031238148726e+00
5.000000000000000000e+00,7.226077911235229134e-01,1.026237118423630967e+00
6.000000000000000000e+00,2.131352889149797092e-01,2.262482957995089361e+00
7.000000000000000000e+00,1.153185025403836272e+00,1.643403228498938606e+00
8.000000000000000000e+00,-7.978293972674112000e-01,-1.452123855586734624e+00
9.000000000000000000e+00,4.548110616194381284e-01,-1.203968046532734704e+00
1.000000000000000000e+01,4.710568383398161529e-01,-9.613276798293406422e-01
1.100000000000000000e+01,8.257909555604462382e-01,2.429713253438879228e+00
1.200000000000000000e+01,1.866140683023360669e-01,1.543766837982401441e+00
1.300000000000000000e+01,1.198982551984445255e+00,4.950424099536361311e-01
1.400000000000000000e+01,-9.565986034576852148e-01,-8.337380200673050190e-01
1.500000000000000000e+01,7.858152220326247717e-02,-6.138762764408465245e-01
1.600000000000000000e+01,7.043753410781998792e-01,-3.155227429362974512e-01
1.700000000000000000e+01,3.289719870943362268e-01,2.127130738299630508e+00
1.800000000000000000e+01,1.059801006713545490e+00,1.524888136512928316e+00
1.900000000000000000e+01,-4.737578472351615111e-01,-3.394924742697469355e-02
2.000000000000000000e+01,1.003715205070411232e+00,1.005562884146931291e+00
2.100000000000000000e+01,-5.525492522159011211e-01,6.693178612712813447e-02
2.200000000000000000e+01,8.736796149470312800e-01,1.360931377120973673e+00
2.300000000000000000e+01,-2.344072730683602890e-01,5.672292953780155855e-01
2.400000000000000000e+01,1.185178406949826790e+00,1.368274412320053646e+00
2.500000000000000000e+01,-1.036829180740688860e+00,-2.166869054340341272e-01
2.600000000000000000e+01,-1.494671279646233031e-01,-5.873139098111068712e-01
2.700000000000000000e+01,6.576746544990030863e-01,-3.015085909457633218e-01
2.800000000000000000e+01,3.496095299720767824e-01,1.042297843499297993e+00
2.900000000000000000e+01,1.026184843523485934e+00,8.798467393095248390e-01
3.000000000000000000e+01,-3.693946073166265998e-01,-2.684114155946364377e-01
3.100000000000000000e+01,1.116822126776598978e+00,1.190053672355725123e+00
3.200000000000000000e+01,-8.570267101959159195e-01,-4.528518362510087769e-01
3.300000000000000000e+01,3.067539432480516637e-01,5.679636732288702028e-01
3.400000000000000000e+01,6.111548125637047413e-01,6.055300424707299456e-01
3.500000000000000000e+01,5.691118960867276311e-01,1.473906528179983244e+00
3.600000000000000000e+01,7.299027533947091140e-01,3.434926803224911396e-01
3.700000000000000000e+01,4.248723276475697697e-01,-2.765266324860813363e-01
3.800000000000000000e+01,9.662477332974832578e-01,1.072136379792919980e+00
3.900000000000000000e+01,-1.796268566492628949e-01,1.300211005619500426e-01
4.000000000000000000e+01,1.244702189307672180e+00,1.405322905582341297e+00
4.100000000000000000e+01,-1.222885013089015871e+00,3.844522095208935397e-02
4.200000000000000000e+01,-7.202162005405097212e-01,-5.968955976731673552e-01
4.300000000000000000e+01,-9.306142965611546858e-02,-1.606991909532977658e-01
4.400000000000000000e+01,7.718105382723509100e-01,6.001386431765398655e-01
4.500000000000000000e+01,1.381134613196069727e-01,7.363340471771845364e-01
4.600000000000000000e+01,1.204837702004949662e+00,7.511196553740864257e-01
4.700000000000000000e+01,-9.908534050457126208e-01,-1.314260383924749309e+00
4.800000000000000000e+01,-1.305534780547140672e-02,-2.696595617233441544e-01
4.900000000000000000e+01,7.025053595374356474e-01,6.251621989143694158e-01
5.000000000000000000e+01,3.051641034080081472e-01,2.096113225260217483e+00
5.100000000000000000e+01,1.080376425848891708e+00,1.659261766770145030e+00
5.200000000000000000e+01,-5.425492791196335762e-01,-8.796515292909756756e-01
5.300000000000000000e+01,9.120093193721398039e-01,3.589976179074367835e-01
5.400000000000000000e+01,-3.272301818061773560e-01,-5.589252885776385682e-01
5.500000000000000000e+01,1.123691367172776623e+00,1.402896769130689503e+00
5.600000000000000000e+01,-8.659242586639266381e-01,-7.601483587941126885e-01
5.700000000000000000e+01,2.873526597120936721e-01,-3.685539551974201800e-01
5.800000000000000000e+01,6.246225509397620446e-01,4.590292036036534018e-01
5.900000000000000000e+01,5.399911343141343689e-01,1.081671589760530017e+00
6.000000000000000000e+01,7.791601700889168036e-01,1.470548394712976048e-01
6.100000000000000000e+01,3.120705413800546335e-01,-1.195889625407486889e-01
6.200000000000000000e+01,1.097404819110538554e+00,1.248618318263682969e+00
6.300000000000000000e+01,-5.923951093958308434e-01,-4.738952835536429653e-01
6.400000000000000000e+01,8.379166938426236833e-01,5.368200424814504323e-01
6.500000000000000000e+01,-1.606646729669636009e-01,3.214847327828369572e-01
6.600000000000000000e+01,1.215236616157373106e+00,1.597341468526894293e+00
6.700000000000000000e+01,-1.115719448439560502e+00,-6.214605442135856528e-01
6.800000000000000000e+01,-3.781908578295760104e-01,-9.991381181922687205e-01
6.900000000000000000e+01,4.650445105439130478e-01,-4.166497266495428065e-02
7.000000000000000000e+01,5.837697871492885104e-01,9.836470779396908615e-01
7.100000000000000000e+01,6.624113230195181057e-01,1.010257000165192487e+00
7.200000000000000000e+01,5.608266709345308687e-01,9.075231419418626766e-01
7.300000000000000000e+01,7.583862201417433946e-01,1.256240498612234857e+00
7.400000000000000000e+01,3.630384788191259871e-01,2.125913483664187975e-01
7.500000000000000000e+01,1.043000154097895926e+00,6.996667524566066998e-01
7.600000000000000000e+01,-4.140775063817904722e-01,-1.179803216536181587e-01
7.700000000000000000e+01,1.072855792421462340e+00,7.897862253539871258e-01
7.800000000000000000e+01,-7.356506237797343362e-01,-6.845811052929580143e-01
7.900000000000000000e+01,5.642021613519216938e-01,8.276818264080132437e-02
8.000000000000000000e+01,3.336511024422278426e-01,5.880552951402648887e-01
8.100000000000000000e+01,1.013408366980296904e+00,1.663998855437692992e+00
8.200000000000000000e+01,-3.376997948392726490e-01,3.792110930763659127e-01
8.300000000000000000e+01,1.144364898085807436e+00,1.126878280888433892e+00
8.400000000000000000e+01,-9.347093664110984745e-01,5.421977248503706548e-02
8.500000000000000000e+01,1.201552299064503893e-01,3.205903709706241500e-01
8.600000000000000000e+01,6.993749990932497385e-01,5.675721869375207618e-01
8.700000000000000000e+01,3.512710238725789136e-01,1.362237737480997080e+00
8.800000000000000000e+01,1.037064634630489035e+00,9.875794136559050695e-01
8.900000000000000000e+01,-4.003229718000039239e-01,-5.198495619311209737e-01
9.000000000000000000e+01,1.086757515938045149e+00,1.012584356368844141e+00
9.100000000000000000e+01,-7.735555493669636906e-01,-4.056904116634667545e-01
9.200000000000000000e+01,4.882837916424186964e-01,7.914608522634893895e-01
9.300000000000000000e+01,4.341438495369351891e-01,8.241705607276355039e-01
9.400000000000000000e+01,8.826119025656770090e-01,1.420707330711069805e+00
9.500000000000000000e+01,3.963787609023475267e-02,1.581089874545815732e-01
9.600000000000000000e+01,1.262583945060380408e+00,8.296414321244309775e-01
9.700000000000000000e+01,-1.219874142826856467e+00,-9.025472181155471674e-01
9.800000000000000000e+01,-7.045549105544668400e-01,-9.543960928207999572e-01
9.900000000000000000e+01,-6.091891362903473217e-02,-2.658061754590868020e-01
1.000000000000000000e+02,7.834379671808214818e-01,1.071057314983052677e+00
1.010000000000000000e+02,1.224392581227045362e-01,1.126675989319434024e+00
1.020000000000000000e+02,1.214043469452752877e+00,9.634247320541859949e-01
1.030000000000000000e+02,-1.026730386572416442e+00,-1.138041250704464602e+00
1.040000000000000000e+02,-1.116323605597754343e-01,-4.974110175645130028e-01
1.050000000000000000e+02,6.745343865344682888e-01,3.887950598637388566e-01
1.060000000000000000e+02,3.295149977676633535e-01,1.261285085299657993e+00
1.070000000000000000e+02,1.050348128704988060e+00,1.141474705722405503e+00
1.080000000000000000e+02,-4.456691687333990126e-01,-6.321641227154408682e-01
1.090000000000000000e+02,1.037035027468169890e+00,7.465989158770605094e-01
1.100000000000000000e+02,-6.393190580942905710e-01,-6.537110647984629708e-01
1.110000000000000000e+02,7.388901069808517796e-01,8.007466667459746112e-01
1.120000000000000000e+02,4.386225629986839625e-02,-7.306058729277253860e-03
1.130000000000000000e+02,1.218973575555454048e+00,1.387820568279825473e+00
1.140000000000000000e+02,-1.067096532173466672e+00,-9.683308566361183978e-01
1.150000000000000000e+02,-2.284809399006574870e-01,-9.904416842671825982e-01
1.160000000000000000e+02,6.067860844909169771e-01,3.765275148296138852e-01
1.170000000000000000e+02,4.159906247652572775e-01,7.728208904677820179e-01
1.180000000000000000e+02,9.397683454976504258e-01,6.315983054404767927e-01
1.190000000000000000e+02,-1.116331730495705998e-01,-4.771831188632269516e-02
1.200000000000000000e+02,1.264483752194133670e+00,1.506948909515703150e+00
1.210000000000000000e+02,-1.271976775303008456e+00,-1.101040976634649837e+00
1.220000000000000000e+02,-8.857497580160957895e-01,-8.684841560043594644e-01
1.230000000000000000e+02,-4.799667199467035350e-01,-5.554392881494214507e-01
1.240000000000000000e+02,4.117597994362150460e-01,7.447078874859780484e-01
1.250000000000000000e+02,6.186453986115361126e-01,7.726633181047328769e-01
1.260000000000000000e+02,5.877169589183476317e-01,8.963425618078035839e-01
1.270000000000000000e+02,7.020179062631377587e-01,-6.489143199628024661e-01
1.280000000000000000e+02,4.863542906757928330e-01,-7.647221667455603722e-01
1.290000000000000000e+02,8.794486773966863069e-01,-6.132369544219455904e-01
1.300000000000000000e+02,6.310432055804476859e-02,-5.441297831835285592e-01
1.310000000000000000e+02,1.258259585836676298e+00,1.490672845752079922e+00
1.320000000000000000e+02,-1.197572763322424017e+00,-1.100541588097328827e+00
1.330000000000000000e+02,-6.303748570813862973e-01,-1.188927326395965434e+00
1.340000000000000000e+02,8.440672638674334705e-02,-8.551747795173030298e-01
1.350000000000000000e+02,8.009132492325270469e-01,7.057930172882005415e-01
1.360000000000000000e+02,1.272751720013375887e-01,7.698350319514402074e-01
1.370000000000000000e+02,1.217595417598599905e+00,8.773341883463254831e-01
1.380000000000000000e+02,-1.037371489739550956e+00,-8.808503189689824708e-01
1.390000000000000000e+02,-1.413168255346574642e-01,-4.222716950244032041e-01
1.400000000000000000e+02,6.608299298272648503e-01,7.151609764460626906e-01
1.410000000000000000e+02,3.462302777218918548e-01,9.827752515822998358e-01
1.420000000000000000e+02,1.030423411652249710e+00,8.926942257115788593e-01
1.430000000000000000e+02,-3.826122868769187280e-01,-8.252790112171126680e-01
1.440000000000000000e+02,1.104177996598814993e+00,8.873359590924057017e-01
1.450000000000000000e+02,-8.216763535052372669e-01,-8.198916947218179985e-01
1.460000000000000000e+02,3.860405571061154562e-01,4.782911578513480144e-01
1.470000000000000000e+02,5.448588575253088262e-01,5.478982765881745820e-01
1.480000000000000000e+02,7.001925226585359319e-01,1.146691068759222887e+00
1.490000000000000000e+02,4.770802609558986163e-01,2.103784699160513583e-01
1.500000000000000000e+02,8.914099512463131703e-01,6.056853655895455546e-01
1.510000000000000000e+02,3.066769663343341112e-02,4.282383061714334360e-02
1.520000000000000000e+02,1.266106274710373514e+00,1.281015948725196196e+00
1.530000000000000000e+02,-1.235034829415341262e+00,-1.352209697561463031e+00
1.540000000000000000e+02,-7.556035594034616887e-01,-7.666277599978261748e-01
1.550000000000000000e+02,-1.698218834010551959e-01,1.166757104548321600e-01
1.560000000000000000e+02,7.329436712643273566e-01,4.885238458961351782e-01
1.570000000000000000e+02,1.969644396346809379e-01,2.190046644641183704e-01
1.580000000000000000e+02,1.165570114706452776e+00,8.960481617501532270e-01
1.590000000000000000e+02,-8.428858373251343350e-01,-1.068498750811203379e+00
1.600000000000000000e+02,3.550318857433258923e-01,1.000000326629013614e-01
1.610000000000000000e+02,5.706675529502128752e-01,4.466795531234333261e-01
1.620000000000000000e+02,6.505835273367401861e-01,2.123379667532632631e+00
1.630000000000000000e+02,5.786377694263830085e-01,1.371746833039337865e+00
1.640000000000000000e+02,7.264247227115860905e-01,4.352141793564783256e-01
1.650000000000000000e+02,4.348213019546682823e-01,3.475118212379868510e-01
1.660000000000000000e+02,9.532300263265018891e-01,6.303749786615426842e-01
1.670000000000000000e+02,-1.416600857401923153e-01,-3.936204179810012249e-01
1.680000000000000000e+02,1.257874396049264432e+00,1.331971625498265865e+00
1.690000000000000000e+02,-1.257645220452879853e+00,-4.705765956858147803e-01
1.700000000000000000e+02,-8.369777819243821027e-01,-8.270819361106518386e-01
1.710000000000000000e+02,-3.580380965449458941e-01,-4.179077481839428287e-01
1.720000000000000000e+02,5.694388754141461728e-01,-2.191644654943250003e-01
1.730000000000000000e+02,4.386236850704177126e-01,6.082676872717733829e-01
1.740000000000000000e+02,9.014846306775896601e-01,1.479305100584886290e+00
1.750000000000000000e+02,-6.157249565948735848e-03,-7.670551054974659166e-01
1.760000000000000000e+02,1.270392312792172573e+00,6.164375780468009935e-01
1.770000000000000000e+02,-1.261302454631807901e+00,-1.782495840988653768e+00
1.780000000000000000e+02,-8.461197410466614333e-01,-5.085107151676986348e-01
1.790000000000000000e+02,-3.806767990539595692e-01,-5.688885574394930700e-01
1.800000000000000000e+02,5.432833222128453654e-01,1.014412350710625077e+00
1.810000000000000000e+02,4.725774848113352133e-01,6.828147654181258019e-01
1.820000000000000000e+02,8.503237258530027542e-01,4.348399560727411739e-01
1.830000000000000000e+02,1.295026311954549370e-01,-5.827510865913794191e-01
1.840000000000000000e+02,1.231617813674736439e+00,1.430467160641127222e+00
1.850000000000000000e+02,-1.084784625186676399e+00,-1.290079555541375100e+00
1.860000000000000000e+02,-2.779754121555361723e-01,-1.146269636739418729e-01
1.870000000000000000e+02,5.663861507757408376e-01,2.880771836189737201e-01
1.880000000000000000e+02,4.674967958465548468e-01,9.382513211611520632e-01
1.890000000000000000e+02,8.639412894552087607e-01,-4.093649316489802459e-01
1.900000000000000000e+02,9.529666647822632175e-02,-7.796544469122848042e-01
1.910000000000000000e+02,1.246468350337955444e+00,1.824909684639127505e+00
1.920000000000000000e+02,-1.146567687808445646e+00,-4.771754322113306301e-01
1.930000000000000000e+02,-4.665239427155805640e-01,-4.117358744757524391e-01
1.940000000000000000e+02,3.513272688798199095e-01,7.305019177387901408e-01
1.950000000000000000e+02,6.872396273833512037e-01,4.928428557632322793e-01
1.960000000000000000e+02,4.441805530395355750e-01,-3.375726588137339945e-02
1.970000000000000000e+02,9.299569790370946221e-01,3.527088313874173764e-01
1.980000000000000000e+02,-7.749381009185829505e-02,-3.515484349970403599e-01
1.990000000000000000e+02,1.270579686867554070e+00,1.113274141587400123e+00
2.000000000000000000e+02,-1.283369979980189868e+00,-1.579344501370080422e+00
2.010000000000000000e+02,-9.246800016598279992e-01,-3.058553167058626343e-01
2.020000000000000000e+02,-5.820573416515242293e-01,-5.096725973750366734e-01
2.030000000000000000e+02,2.482889509434367814e-01,-4.096388096160508141e-01
2.040000000000000000e+02,7.390764330797134907e-01,-4.605283264374637753e-01
2.050000000000000000e+02,3.097591217756660020e-01,5.332670415881146653e-01
2.060000000000000000e+02,1.087391930991389311e+00,-7.484735707724077258e-02
2.070000000000000000e+02,-5.624619596865555460e-01,-1.224646949619602410e+00
2.080000000000000000e+02,8.833087407652001621e-01,2.781749070673456004e-02
2.090000000000000000e+02,-2.610666520230515708e-01,-5.125611545023502913e-01
2.100000000000000000e+02,1.169574506711624995e+00,2.040687896040385141e+00
2.110000000000000000e+02,-9.933863330565527727e-01,-7.315798225858038961e-01
2.120000000000000000e+02,-3.067061737147463996e-02,-7.321559526183136768e-01
2.130000000000000000e+02,7.006671386051077643e-01,3.056079107613864920e-01
2.140000000000000000e+02,3.034906000190606967e-01,1.049667849538398201e+00
2.150000000000000000e+02,1.081250979561631187e+00,3.436441865846084909e-01
2.160000000000000000e+02,-5.456979731184634641e-01,-9.199609488208224661e-01
2.170000000000000000e+02,9.074745048566503769e-01,6.380807182061687399e-01
2.180000000000000000e+02,-3.166233596862908506e-01,-2.282648814605927612e-01
2.190000000000000000e+02,1.131891858798347084e+00,1.113285880142878881e+00
2.200000000000000000e+02,-8.886378599254551869e-01,-1.201693207847458922e+00
2.210000000000000000e+02,2.340194131094540109e-01,-2.495570470065615609e-01
2.220000000000000000e+02,6.567375220254328960e-01,1.191685197215132774e+00
2.230000000000000000e+02,4.663799819622879705e-01,1.155583175731216272e+00
2.240000000000000000e+02,8.925068540024283514e-01,-3.509480286181343445e-02
2.250000000000000000e+02,2.471811637084955771e-02,-4.270269098641037431e-01
2.260000000000000000e+02,1.266896676813036526e+00,1.356026849840702653e+00
2.270000000000000000e+02,-1.239622630696626704e+00,-1.007505796152571520e+00
2.280000000000000000e+02,-7.712609701054045086e-01,-6.191051877188584740e-01
2.290000000000000000e+02,-2.046676668200894111e-01,7.216654655922738471e-02
2.300000000000000000e+02,7.099773135901679133e-01,9.892994012200464482e-01
2.310000000000000000e+02,2.329047998161769550e-01,4.224706315998787431e-01
2.320000000000000000e+02,1.137050689988671426e+00,1.037758929487333504e+00
2.330000000000000000e+02,-7.401665403003460098e-01,-1.009438877091786146e+00
2.340000000000000000e+02,5.741300966643443360e-01,4.344801165014118283e-01
2.350000000000000000e+02,3.164745228557631074e-01,2.850861753636220186e-01
2.360000000000000000e+02,1.032020455935807268e+00,1.946572426863777849e+00
2.370000000000000000e+02,-3.961503532012031759e-01,6.492971749318243724e-02
2.380000000000000000e+02,1.089896993502728950e+00,2.315353663335670831e-01
2.390000000000000000e+02,-7.818707449851632907e-01,2.709452707751616174e-01
2.400000000000000000e+02,4.711184914417027580e-01,3.400810525342450319e-01
2.410000000000000000e+02,4.547050903348229811e-01,1.340722887496781368e-01
2.420000000000000000e+02,8.518761405855515001e-01,1.019589441428044196e+00
2.430000000000000000e+02,1.204413846419389589e-01,4.564631186856296097e-01
2.440000000000000000e+02,1.235254264187410911e+00,8.755493877085527288e-01
2.450000000000000000e+02,-1.100061920677873006e+00,-1.321529132560961273e+00
2.460000000000000000e+02,-3.236144417994639699e-01,-8.253029756055951793e-01
2.470000000000000000e+02,5.233645940789879436e-01,7.647792316747512587e-01
2.480000000000000000e+02,5.194409697905115753e-01,1.081341193340955797e+00
2.490000000000000000e+02,7.792628886880264005e-01,8.734957061534034395e-01
2.500000000000000000e+02,3.056813813761831700e-01,5.178150528265774710e-01
2.510000000000000000e+02,1.102961316918335655e+00,1.382341617132118117e+00
