t,original,RCoutput
0.000000000000000000e+00,2.234723924822470953e-02,-3.787619785682561968e+00
1.000000000000000000e+00,1.266000215804664375e+00,-7.181988529916916164e-01
2.000000000000000000e+00,-1.237154993209972131e+00,-2.089542718610627681e+00
3.000000000000000000e+00,-7.629734033727131326e-01,3.368318919032785796e+00
4.000000000000000000e+00,-1.861262779187888294e-01,2.906391697753737402e-01
5.000000000000000000e+00,7.226077911235229134e-01,-3.783933864881356524e+00
6.000000000000000000e+00,2.131352889149797092e-01,-2.653364288558498263e+00
7.000000000000000000e+00,1.153185025403836272e+00,2.143242021021865451e+00
8.000000000000000000e+00,-7.978293972674112000e-01,5.642971084216683586e-01
9.000000000000000000e+00,4.548110616194381284e-01,1.491129248029206877e+00
1.000000000000000000e+01,4.710568383398161529e-01,-9.658817961483525671e-01
1.100000000000000000e+01,8.257909555604462382e-01,-2.295648988629931608e+00
1.200000000000000000e+01,1.866140683023360669e-01,-1.664813769929256004e+00
1.300000000000000000e+01,1.198982551984445255e+00,5.382371897880098288e-01
1.400000000000000000e+01,-9.565986034576852148e-01,-1.141915557891953092e+00
1.500000000000000000e+01,7.858152220326247717e-02,1.741550816281981051e+00
1.600000000000000000e+01,7.043753410781998792e-01,-4.946688567480506116e-01
1.700000000000000000e+01,3.289719870943362268e-01,-1.466302384168673534e+00
1.800000000000000000e+01,1.059801006713545490e+00,7.810426649808892563e-01
1.900000000000000000e+01,-4.737578472351615111e-01,2.930430002250039578e-01
2.000000000000000000e+01,1.003715205070411232e+00,7.144744795229747147e-01
2.100000000000000000e+01,-5.525492522159011211e-01,-1.770368684082375133e+00
2.200000000000000000e+01,8.736796149470312800e-01,5.951425468041733335e-01
2.300000000000000000e+01,-2.344072730683602890e-01,-1.494087266741427555e+00
2.400000000000000000e+01,1.185178406949826790e+00,7.003886472214633230e-01
2.500000000000000000e+01,-1.036829180740688860e+00,-1.663493791212819151e+00
2.600000000000000000e+01,-1.494671279646233031e-01,1.838711164152100119e+00
2.700000000000000000e+01,6.576746544990030863e-01,-8.098622884308182002e-02
2.800000000000000000e+01,3.496095299720767824e-01,-1.211822958214862078e+00
2.900000000000000000e+01,1.026184843523485934e+00,9.722070685765955567e-01
3.000000000000000000e+01,-3.693946073166265998e-01,1.315676277259552052e-01
3.100000000000000000e+01,1.116822126776598978e+00,6.634746768308643627e-01
3.200000000000000000e+01,-8.570267101959159195e-01,-1.524982251698933311e+00
3.300000000000000000e+01,3.067539432480516637e-01,8.892346480527668628e-01
3.400000000000000000e+01,6.111548125637047413e-01,-4.703134509978625921e-01
3.500000000000000000e+01,5.691118960867276311e-01,-1.907668987511339509e-01
3.600000000000000000e+01,7.299027533947091140e-01,7.179745112907558457e-01
3.700000000000000000e+01,4.248723276475697697e-01,4.533377634046957816e-01
3.800000000000000000e+01,9.662477332974832578e-01,2.729180441276759517e-01
3.900000000000000000e+01,-1.796268566492628949e-01,-1.590773063168291479e-01
4.000000000000000000e+01,1.244702189307672180e+00,1.350798365701140202e+00
4.100000000000000000e+01,-1.222885013089015871e+00,-2.092795934083497400e+00
4.200000000000000000e+01,-7.202162005405097212e-01,2.812912145434695033e-01
4.300000000000000000e+01,-9.306142965611546858e-02,-6.073224630340861019e-01
4.400000000000000000e+01,7.718105382723509100e-01,-1.455188423879828274e+00
4.500000000000000000e+01,1.381134613196069727e-01,-1.955779862968662908e-01
4.600000000000000000e+01,1.204837702004949662e+00,2.722181691348197319e+00
4.700000000000000000e+01,-9.908534050457126208e-01,9.538178889286985651e-03
4.800000000000000000e+01,-1.305534780547140672e-02,5.780671161966679517e-01
4.900000000000000000e+01,7.025053595374356474e-01,-1.227667795324734357e+00
5.000000000000000000e+01,3.051641034080081472e-01,-2.083674835229150979e+00
5.100000000000000000e+01,1.080376425848891708e+00,3.248667813944816629e-02
5.200000000000000000e+01,-5.425492791196335762e-01,-5.248591517206158130e-01
