t,original,RCoutput
0.000000000000000000e+00,2.234723924822470953e-02,4.805792296940181174e+00
1.000000000000000000e+00,1.266000215804664375e+00,2.359263640778049620e+00
2.000000000000000000e+00,-1.237154993209972131e+00,1.826607115990119823e+00
3.000000000000000000e+00,-7.629734033727131326e-01,-5.581140301273244120e-01
4.000000000000000000e+00,-1.861262779187888294e-01,-3.275907593727501954e+00
5.000000000000000000e+00,7.226077911235229134e-01,-1.798619979385467360e-01
6.000000000000000000e+00,2.131352889149797092e-01,3.804625469441250463e+00
7.000000000000000000e+00,1.153185025403836272e+00,1.441107383283103172e+00
8.000000000000000000e+00,-7.978293972674112000e-01,-6.589260908268970152e-01
9.000000000000000000e+00,4.548110616194381284e-01,3.241897825257398225e-01
1.000000000000000000e+01,4.710568383398161529e-01,6.493080867442500015e-01
1.100000000000000000e+01,8.257909555604462382e-01,3.641705523941639377e+00
1.200000000000000000e+01,1.866140683023360669e-01,2.439877176537471826e+00
1.300000000000000000e+01,1.198982551984445255e+00,9.868930969834535105e-01
1.400000000000000000e+01,-9.565986034576852148e-01,1.329404668051830107e-01
1.500000000000000000e+01,7.858152220326247717e-02,-1.974136780374369238e-01
1.600000000000000000e+01,7.043753410781998792e-01,-9.333871028019524729e-02
1.700000000000000000e+01,3.289719870943362268e-01,2.652530620150943541e+00
1.800000000000000000e+01,1.059801006713545490e+00,2.416567758712858893e+00
1.900000000000000000e+01,-4.737578472351615111e-01,9.786216884074980804e-01
2.000000000000000000e+01,1.003715205070411232e+00,1.867939492971850690e-01
2.100000000000000000e+01,-5.525492522159011211e-01,1.446495995102870857e+00
2.200000000000000000e+01,8.736796149470312800e-01,1.337009967611042516e+00
2.300000000000000000e+01,-2.344072730683602890e-01,1.461150471981102594e+00
2.400000000000000000e+01,1.185178406949826790e+00,1.499460581195814157e+00
2.500000000000000000e+01,-1.036829180740688860e+00,1.235139305455639880e+00
2.600000000000000000e+01,-1.494671279646233031e-01,-6.923252592173112507e-01
2.700000000000000000e+01,6.576746544990030863e-01,-3.590083227320428616e-01
2.800000000000000000e+01,3.496095299720767824e-01,1.675309651693868140e+00
2.900000000000000000e+01,1.026184843523485934e+00,1.787019661223215650e+00
3.000000000000000000e+01,-3.693946073166265998e-01,-4.536853124840600771e-02
3.100000000000000000e+01,1.116822126776598978e+00,8.232464850068517137e-01
3.200000000000000000e+01,-8.570267101959159195e-01,-4.242658006228250400e-03
3.300000000000000000e+01,3.067539432480516637e-01,6.356923744581184366e-01
3.400000000000000000e+01,6.111548125637047413e-01,4.524325089365142105e-01
3.500000000000000000e+01,5.691118960867276311e-01,1.772505554738039280e+00
3.600000000000000000e+01,7.299027533947091140e-01,1.136963842437370253e+00
3.700000000000000000e+01,4.248723276475697697e-01,2.359454543025991669e-01
3.800000000000000000e+01,9.662477332974832578e-01,1.179284777937677831e+00
3.900000000000000000e+01,-1.796268566492628949e-01,9.610005522720278526e-01
4.000000000000000000e+01,1.244702189307672180e+00,1.233503472774715171e+00
4.100000000000000000e+01,-1.222885013089015871e+00,7.076524819766971675e-01
4.200000000000000000e+01,-7.202162005405097212e-01,-1.418650342651818441e+00
4.300000000000000000e+01,-9.306142965611546858e-02,-1.949433813967600404e+00
4.400000000000000000e+01,7.718105382723509100e-01,4.496474269215733344e-01
4.500000000000000000e+01,1.381134613196069727e-01,2.404076552996628813e+00
4.600000000000000000e+01,1.204837702004949662e+00,3.450240141275564554e-01
4.700000000000000000e+01,-9.908534050457126208e-01,-1.063594467968844270e+00
4.800000000000000000e+01,-1.305534780547140672e-02,2.849177980778865305e-01
4.900000000000000000e+01,7.025053595374356474e-01,1.177197076829584077e+00
5.000000000000000000e+01,3.051641034080081472e-01,2.184873850243493010e+00
5.100000000000000000e+01,1.080376425848891708e+00,1.961885396788732638e+00
5.200000000000000000e+01,-5.425492791196335762e-01,-6.406876647569772487e-01
5.300000000000000000e+01,9.120093193721398039e-01,4.358857163283540448e-01
5.400000000000000000e+01,-3.272301818061773560e-01,-3.347375978654643092e-02
5.500000000000000000e+01,1.123691367172776623e+00,1.205842004305596404e+00
5.600000000000000000e+01,-8.659242586639266381e-01,-1.016110525154616973e+00
5.700000000000000000e+01,2.873526597120936721e-01,-3.963758057207740215e-01
5.800000000000000000e+01,6.246225509397620446e-01,5.056738325955021374e-01
5.900000000000000000e+01,5.399911343141343689e-01,1.130160803670811287e+00
6.000000000000000000e+01,7.791601700889168036e-01,3.209327022854413514e-01
6.100000000000000000e+01,3.120705413800546335e-01,-3.254634421125679467e-02
6.200000000000000000e+01,1.097404819110538554e+00,1.374990471553304339e+00
6.300000000000000000e+01,-5.923951093958308434e-01,-2.984752348187846849e-02
6.400000000000000000e+01,8.379166938426236833e-01,7.794522150893534729e-02
6.500000000000000000e+01,-1.606646729669636009e-01,4.954563850844868611e-01
6.600000000000000000e+01,1.215236616157373106e+00,9.899368375112471696e-01
6.700000000000000000e+01,-1.115719448439560502e+00,4.109251313603117239e-01
6.800000000000000000e+01,-3.781908578295760104e-01,-9.814821482460551749e-01
6.900000000000000000e+01,4.650445105439130478e-01,9.234880841715309430e-04
7.000000000000000000e+01,5.837697871492885104e-01,1.524944862393805778e+00
7.100000000000000000e+01,6.624113230195181057e-01,1.831734753894068701e+00
7.200000000000000000e+01,5.608266709345308687e-01,6.269990377931491388e-01
7.300000000000000000e+01,7.583862201417433946e-01,1.100935782430531695e+00
7.400000000000000000e+01,3.630384788191259871e-01,7.172471262691759719e-01
7.500000000000000000e+01,1.043000154097895926e+00,1.168482955240395249e+00
7.600000000000000000e+01,-4.140775063817904722e-01,1.582311747872449104e-01
7.700000000000000000e+01,1.072855792421462340e+00,1.077325312182825456e+00
7.800000000000000000e+01,-7.356506237797343362e-01,-4.549797404951485547e-01
7.900000000000000000e+01,5.642021613519216938e-01,-4.058124846904114236e-01
8.000000000000000000e+01,3.336511024422278426e-01,2.609557075696162798e-01
8.100000000000000000e+01,1.013408366980296904e+00,1.634295422379445473e+00
8.200000000000000000e+01,-3.376997948392726490e-01,9.106710290398409846e-01
8.300000000000000000e+01,1.144364898085807436e+00,2.558768801944131255e-01
8.400000000000000000e+01,-9.347093664110984745e-01,9.350348282755573948e-01
8.500000000000000000e+01,1.201552299064503893e-01,-1.266383481045982862e-01
