Hx,Hy
-3.718700419749798591e-02,2.748751177114178157e-01
1.272939095117759045e+00,-1.115610125924939612e-02
-1.279679617090156318e+00,3.818817285353277025e-01
-9.107301628190846987e-01,-3.839038851270468733e-01
-5.451050863829138837e-01,-2.732190488457253985e-01
3.107855738735409434e-01,-1.635315259148741596e-01
7.012457319860572191e-01,9.323567216206228581e-02
4.047918648819366361e-01,2.103737195958171602e-01
9.809746841713827825e-01,1.214375594645809853e-01
-2.257983039146208848e-01,2.942924052514148126e-01
1.222913581580407527e+00,-6.773949117438626821e-02
-1.161464170393734063e+00,3.668740744741222359e-01
-5.217245522776446931e-01,-3.484392511181201857e-01
2.704856370528475051e-01,-1.565173656832934135e-01
7.410551625240678897e-01,8.114569111585424876e-02
3.123178356508525821e-01,2.223165487572203725e-01
1.085757146105334137e+00,9.369535069525576632e-02
-5.567206617510640498e-01,3.257271438316002299e-01
8.918140905228404414e-01,-1.670161985253192094e-01
-2.804815194024324887e-01,2.675442271568521102e-01
1.157406391340036311e+00,-8.414445582072974106e-02
-9.595698324214011476e-01,3.472219174020108601e-01
5.813794879148065364e-02,-2.878709497264203554e-01
7.073970207480264616e-01,1.744138463744419540e-02
3.168666216889869935e-01,2.122191062244079274e-01
1.071652867907579632e+00,9.505998650669610084e-02
-5.127558305056600929e-01,3.214958603722739006e-01
9.534099019677049203e-01,-1.538267491516980279e-01
-4.264133667897940239e-01,2.860229705903114539e-01
1.031463267462501054e+00,-1.279240100369382072e-01
-6.174070710111246862e-01,3.094389802387503274e-01
7.757708923704000892e-01,-1.852221213033374003e-01
-2.777078973217098068e-02,2.327312677111200157e-01
1.231651564243832153e+00,-8.331236919651293163e-03
-1.132083042905641213e+00,3.694954692731496348e-01
-4.247613531751445737e-01,-3.396249128716923305e-01
4.077839971166557498e-01,-1.274284059525433721e-01
6.397686904212452896e-01,1.223351991349967138e-01
5.493096309943554800e-01,1.919306071263735813e-01
7.694931081419565944e-01,1.647928892983066274e-01
3.358253884291502178e-01,2.308479324425869728e-01
1.072957764323561491e+00,1.007476165287450598e-01
-5.109860931023562092e-01,3.218873292970684252e-01
9.563378270154546668e-01,-1.532958279307068683e-01
-4.337106830636052734e-01,2.869013481046364111e-01
1.023554408859737919e+00,-1.301132049190815709e-01
-5.968422839737721475e-01,3.070663226579213867e-01
8.083573259432810243e-01,-1.790526851921316331e-01
-9.387087816077216429e-02,2.425071977829842962e-01
1.230170759309640038e+00,-2.816126344823164859e-02
-1.146809399332870516e+00,3.690512277928920115e-01
-4.721892899646148445e-01,-3.440428197998611215e-01
3.438093644199369803e-01,-1.416567869893844422e-01
6.928563823226381313e-01,1.031428093259810913e-01
4.310728561906819190e-01,2.078569146967914338e-01
9.477035844146421972e-01,1.293218568572045701e-01
-1.280770606201004636e-01,2.843110753243926481e-01
1.261345848484473731e+00,-3.842311818603013490e-02
-1.265813807470653973e+00,3.784037545453420859e-01
-8.647946787113534040e-01,-3.797441422411961809e-01
-4.267619130996582189e-01,-2.594384036134060323e-01
4.855855737251216220e-01,-1.280285739298974712e-01
5.418607368961647630e-01,1.456756721175364866e-01
7.346173906520199193e-01,1.625582210688494289e-01
4.070304261611140673e-01,2.203852171956059702e-01
9.884419422463486260e-01,1.221091278483342202e-01
-2.457153346200932620e-01,2.965325826739045878e-01
1.212006146739454504e+00,-7.371460038602797860e-02
-1.130257060013936110e+00,3.636018440218363179e-01
-4.248715863740485932e-01,-3.390771180041808330e-01
4.082006711246183306e-01,-1.274614759122145724e-01
6.392596210185610417e-01,1.224602013373854992e-01
5.503461930466735375e-01,1.917778863055683014e-01
7.677445812242151835e-01,1.651038579140020612e-01
3.398994191151983868e-01,2.303233743672645495e-01
1.068579113206475473e+00,1.019698257345595105e-01
-4.966360239190329429e-01,3.205737339619426085e-01
9.752674576061939327e-01,-1.489908071757098662e-01
-4.805960665876188864e-01,2.925802372818581687e-01
9.692186263745707908e-01,-1.441788199762856493e-01
-4.593174639722594765e-01,2.907655879123712261e-01
9.954040421185001986e-01,-1.377952391916778263e-01
-5.249561290838661298e-01,2.986212126355500263e-01
9.128107001877465709e-01,-1.574868387251598389e-01
-3.239995628533015037e-01,2.738432100563239491e-01
1.126877206635541251e+00,-9.719986885599045390e-02
-8.749930032245988309e-01,3.380631619906623864e-01
2.662053040218585465e-01,-2.624979009673796271e-01
6.382907295875022147e-01,7.986159120655755839e-02
5.094805135382733940e-01,1.914872188762506700e-01
8.280886677309388100e-01,1.528441540614820238e-01
1.928209757873204089e-01,2.484266003192816263e-01
1.196374700134277491e+00,5.784629273619611850e-02
-9.459910996337389522e-01,3.589124100402832362e-01
1.060535852195323980e-01,-2.837973298901216856e-01
7.004563619967949517e-01,3.181607556585971941e-02
3.449213144793606967e-01,2.101369085990384689e-01
1.043577910144000365e+00,1.034763943438082034e-01
-4.212004020129187509e-01,3.130733730432000983e-01
1.064699682925017932e+00,-1.263601206038756086e-01
-7.133797013527627406e-01,3.194099048775053684e-01
6.069350672544857606e-01,-2.140139104058288166e-01
2.702678433856811058e-01,1.820805201763457115e-01
1.079817930140659854e+00,8.108035301570433451e-02
-5.513291141388579897e-01,3.239453790421979451e-01
8.983960701062048138e-01,-1.653987342416573803e-01
-2.953604325368393013e-01,2.695188210318614219e-01
1.147385921880172965e+00,-8.860812976105178485e-02
-9.317003649813918598e-01,3.442157765640518896e-01
1.289239784150095769e-01,-2.795101094944175690e-01
6.972199414110870075e-01,3.867719352450287029e-02
3.581152881427114854e-01,2.091659824233260967e-01
1.029620798981173868e+00,1.074345864428134373e-01
-3.767319991296695925e-01,3.088862396943521382e-01
1.110188440858819847e+00,-1.130195997389008694e-01
-8.385453236420531420e-01,3.330565322576459208e-01
3.486349685349081073e-01,-2.515635970926159426e-01
5.782715251079131313e-01,1.045904905604724267e-01
6.364333511095878748e-01,1.734814575323739283e-01
6.064150829659620268e-01,1.909300053328763513e-01
6.760950513448158450e-01,1.819245248897886080e-01
5.419781990556598039e-01,2.028285154034447368e-01
7.915919998511817823e-01,1.625934597166979467e-01
2.853284077969472365e-01,2.374775999553545291e-01
1.123500379541036986e+00,8.559852233908417374e-02
-6.815558216213116749e-01,3.370501138623110959e-01
6.867244406820494085e-01,-2.044667464863934858e-01
1.353066131115035209e-01,2.060173322046148225e-01
1.180386300832226176e+00,4.059198393345105765e-02
-9.100445629358900890e-01,3.541158902496678307e-01
1.946623411088227451e-01,-2.730133688807669934e-01
6.739358332548782693e-01,5.839870233264682353e-02
4.225333920497209017e-01,2.021807499764634863e-01
9.522324956206030810e-01,1.267600176149162594e-01
-1.426853983872621578e-01,2.856697486861808910e-01
1.257166976608076414e+00,-4.280561951617864458e-02
-1.255461949419627077e+00,3.771500929824229131e-01
-8.295084960343190872e-01,-3.766385848258881341e-01
-3.399566678162532773e-01,-2.488525488102957262e-01
5.893487007998817750e-01,-1.019870003448759832e-01
4.117483520668121511e-01,1.768046102399645214e-01
9.394532226383348616e-01,1.235245056200436342e-01
-1.120767949157301380e-01,2.818359667915004696e-01
1.264250275649484667e+00,-3.362303847471904278e-02
-1.271283301746436001e+00,3.792750826948453891e-01
-8.833506439242024832e-01,-3.813849905239307669e-01
-4.738166946937551471e-01,-2.650051931772607339e-01
4.206916425840179774e-01,-1.421450084081265497e-01
6.100809501958186498e-01,1.262074927752053766e-01
6.051292206666393225e-01,1.830242850587456005e-01
6.703703618722856028e-01,1.815387661999917912e-01
5.523837752925010447e-01,2.011111085616856808e-01
7.739321392727309679e-01,1.657151325877503079e-01
3.271557939087782474e-01,2.321796417818192682e-01
1.082336362898502991e+00,9.814673817263347422e-02
-5.418860652606702910e-01,3.247009088695508860e-01
9.136041980563829323e-01,-1.625658195782010706e-01
-3.311075025669459881e-01,2.740812594169148575e-01
1.120596209858346626e+00,-9.933225077008379922e-02
-8.573624625385320996e-01,3.361788629575039877e-01
3.070803139193138964e-01,-2.572087387615596410e-01
6.107736143629423076e-01,9.212409417579416060e-02
5.698619229730331748e-01,1.832320843088826867e-01
7.285924285525502420e-01,1.709585768919099358e-01
4.277728791701657096e-01,2.185777285657650726e-01
9.623922379508186298e-01,1.283318637510497129e-01
-1.683464837841293638e-01,2.887176713852455667e-01
1.249040917341773360e+00,-5.050394513523880774e-02
-1.234648443606808810e+00,3.747122752025319747e-01
-7.593872158184691301e-01,-3.703945330820426207e-01
-1.777310540499792424e-01,-2.278161647455407279e-01
7.279601766512560079e-01,-5.331931621499377133e-02
2.047842574788271974e-01,2.183880529953768079e-01
1.159676824039760357e+00,6.143527724364815368e-02
-8.213551934572753677e-01,3.479030472119281070e-01
4.034289518649947226e-01,-2.464065580371825881e-01
5.257365550787739261e-01,1.210286855594984168e-01
7.340701900749631026e-01,1.577209665236321834e-01
4.033183049842627987e-01,2.202210570224889252e-01
9.924891398329586112e-01,1.209954914952788285e-01
-2.580530782656336730e-01,2.977467419498875945e-01
1.204518794266570492e+00,-7.741592347969010468e-02
-1.108627659517639641e+00,3.613556382799711364e-01
