t,original,RCoutput
0.000000000000000000e+00,2.234723924822470953e-02,-1.035693195491500518e-01
1.000000000000000000e+00,1.266000215804664375e+00,3.669879983582111649e+00
2.000000000000000000e+00,-1.237154993209972131e+00,-2.082972968352731158e+00
3.000000000000000000e+00,-7.629734033727131326e-01,4.222680937745527885e+00
4.000000000000000000e+00,-1.861262779187888294e-01,2.048820140419061353e+00
5.000000000000000000e+00,7.226077911235229134e-01,-1.567950552861316460e+00
6.000000000000000000e+00,2.131352889149797092e-01,-1.875787870736027596e-01
7.000000000000000000e+00,1.153185025403836272e+00,2.712709431452310582e+00
8.000000000000000000e+00,-7.978293972674112000e-01,-6.890988286484285297e-01
9.000000000000000000e+00,4.548110616194381284e-01,2.657651907576767059e+00
1.000000000000000000e+01,4.710568383398161529e-01,-1.589531508163562812e+00
1.100000000000000000e+01,8.257909555604462382e-01,-7.888425238822613927e-01
1.200000000000000000e+01,1.866140683023360669e-01,1.261213063435828730e-01
1.300000000000000000e+01,1.198982551984445255e+00,2.008830208625337121e+00
1.400000000000000000e+01,-9.565986034576852148e-01,-1.546786718236988101e+00
1.500000000000000000e+01,7.858152220326247717e-02,2.456646638937313831e+00
1.600000000000000000e+01,7.043753410781998792e-01,-3.729370675416854297e-01
1.700000000000000000e+01,3.289719870943362268e-01,-1.794487572244072737e+00
1.800000000000000000e+01,1.059801006713545490e+00,1.186983053802213472e+00
1.900000000000000000e+01,-4.737578472351615111e-01,-1.201709483904998876e+00
2.000000000000000000e+01,1.003715205070411232e+00,2.202164679390143487e+00
2.100000000000000000e+01,-5.525492522159011211e-01,-2.424113618745285414e+00
2.200000000000000000e+01,8.736796149470312800e-01,2.656698828429717274e+00
2.300000000000000000e+01,-2.344072730683602890e-01,-1.329647658988384329e+00
2.400000000000000000e+01,1.185178406949826790e+00,2.220173363476549255e+00
2.500000000000000000e+01,-1.036829180740688860e+00,-1.811253985498622932e+00
2.600000000000000000e+01,-1.494671279646233031e-01,2.783755616276961220e+00
2.700000000000000000e+01,6.576746544990030863e-01,2.257315056487818605e-01
2.800000000000000000e+01,3.496095299720767824e-01,-8.324463358332065965e-01
2.900000000000000000e+01,1.026184843523485934e+00,1.143508738997977225e+00
3.000000000000000000e+01,-3.693946073166265998e-01,-3.313013441366923217e-01
3.100000000000000000e+01,1.116822126776598978e+00,1.521783671425940510e+00
3.200000000000000000e+01,-8.570267101959159195e-01,-1.662268190884370611e+00
3.300000000000000000e+01,3.067539432480516637e-01,1.522163348679614003e+00
3.400000000000000000e+01,6.111548125637047413e-01,-2.900875831884413003e-01
3.500000000000000000e+01,5.691118960867276311e-01,2.972568567107565229e-01
3.600000000000000000e+01,7.299027533947091140e-01,1.305953700728693434e+00
3.700000000000000000e+01,4.248723276475697697e-01,9.520589951248279448e-01
3.800000000000000000e+01,9.662477332974832578e-01,5.859963505522038929e-01
3.900000000000000000e+01,-1.796268566492628949e-01,1.056724783571567627e-01
4.000000000000000000e+01,1.244702189307672180e+00,2.227597338243095137e+00
4.100000000000000000e+01,-1.222885013089015871e+00,-2.901730777731833300e+00
4.200000000000000000e+01,-7.202162005405097212e-01,1.753765348638461674e+00
4.300000000000000000e+01,-9.306142965611546858e-02,1.348048314483833776e+00
4.400000000000000000e+01,7.718105382723509100e-01,-2.382361196276034931e-01
4.500000000000000000e+01,1.381134613196069727e-01,4.098190713785898609e-01
4.600000000000000000e+01,1.204837702004949662e+00,2.333640582266612640e+00
4.700000000000000000e+01,-9.908534050457126208e-01,-1.634441126300007596e+00
4.800000000000000000e+01,-1.305534780547140672e-02,1.138120255680455273e+00
4.900000000000000000e+01,7.025053595374356474e-01,-9.504262070032103438e-01
5.000000000000000000e+01,3.051641034080081472e-01,-7.290380153933995189e-01
5.100000000000000000e+01,1.080376425848891708e+00,1.311312276088712814e+00
5.200000000000000000e+01,-5.425492791196335762e-01,1.794065479286537368e-01
5.300000000000000000e+01,9.120093193721398039e-01,1.616532856808789109e+00
5.400000000000000000e+01,-3.272301818061773560e-01,-8.935730364297995720e-01
5.500000000000000000e+01,1.123691367172776623e+00,1.746685788073541357e+00
