t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.685619852128397156e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.455960402481707661e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.681398329260773039e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.192992251536111326e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.095225549479373228e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.432103167459686688e-01
6.000000000000000000e+00,9.596733584316294308e-02,2.087879869761408713e-01
7.000000000000000000e+00,3.383546645478812120e-01,6.427560542550132539e-01
8.000000000000000000e+00,8.730960635536306746e-01,8.965324512635390874e-01
9.000000000000000000e+00,4.321173767070621841e-01,3.600681216812517960e-01
1.000000000000000000e+01,9.570286028739894979e-01,8.999427545909099990e-01
1.100000000000000000e+01,1.603869390046918919e-01,3.501560424814798012e-01
1.200000000000000000e+01,5.251855783254487653e-01,8.846845458007948082e-01
1.300000000000000000e+01,9.725261779132093887e-01,3.960765957447804908e-01
1.400000000000000000e+01,1.042041436282625522e-01,9.347536272257954693e-01
1.500000000000000000e+01,3.640479963079555903e-01,2.379677782763351956e-01
1.600000000000000000e+01,9.029165054992615014e-01,7.055717853828795683e-01
1.700000000000000000e+01,3.418673294254279682e-01,8.117044433742321985e-01
1.800000000000000000e+01,8.774768281381200019e-01,5.944526658624553761e-01
1.900000000000000000e+01,4.192938524532584532e-01,9.420157328019129750e-01
2.000000000000000000e+01,9.495974192178379125e-01,2.134954096921504174e-01
2.100000000000000000e+01,1.866624264673728828e-01,6.544912476843833815e-01
2.200000000000000000e+01,5.920963035494734017e-01,8.842692287672235807e-01
2.300000000000000000e+01,9.419212564028406343e-01,3.976666295892314906e-01
2.400000000000000000e+01,2.133518522434056652e-01,9.372975922891342293e-01
2.500000000000000000e+01,6.545480736120832255e-01,2.281935577838041240e-01
2.600000000000000000e+01,8.818480824768969439e-01,6.849069925423520999e-01
2.700000000000000000e+01,4.063489634439959586e-01,8.439705985112837539e-01
2.800000000000000000e+01,9.407949850727453933e-01,5.100871527713124465e-01
2.900000000000000000e+01,2.172291464254008375e-01,9.772156850651825266e-01
3.000000000000000000e+01,6.631585130379011872e-01,8.860401742737877839e-02
3.100000000000000000e+01,8.711792685307180317e-01,3.149818815336580258e-01
3.200000000000000000e+01,4.376812073907043743e-01,8.426023578144423709e-01
3.300000000000000000e+01,9.598538355421063484e-01,5.185327937024908351e-01
3.400000000000000000e+01,1.502843547551322712e-01,9.700926725144256579e-01
3.500000000000000000e+01,4.980259731367667198e-01,1.078373101972474046e-01
3.600000000000000000e+01,9.749848025499787685e-01,3.792428158215876977e-01
3.700000000000000000e+01,9.511880565157496137e-02,9.124869667105031112e-01
3.800000000000000000e+01,3.356777520056721809e-01,3.061247851946262699e-01
3.900000000000000000e+01,8.696929753749534919e-01,8.333340079956172985e-01
4.000000000000000000e+01,4.419757054378147254e-01,5.411377406828137282e-01
4.100000000000000000e+01,9.618694068381868911e-01,9.698896093746398606e-01
4.200000000000000000e+01,1.430389390050714471e-01,1.154758970652807193e-01
4.300000000000000000e+01,4.780573236401621240e-01,3.946318297195929858e-01
4.400000000000000000e+01,9.731222239212528047e-01,9.309078660396892246e-01
4.500000000000000000e+01,1.020059088040508877e-01,2.471390247173914645e-01
4.600000000000000000e+01,3.572427431551311039e-01,7.283133929312413102e-01
4.700000000000000000e+01,8.955194259106997734e-01,7.707240384865130522e-01
4.800000000000000000e+01,3.649010965363548298e-01,6.891815350773597970e-01
4.900000000000000000e+01,9.038183165033907285e-01,8.357891952445939410e-01
5.000000000000000000e+01,3.390299922998326609e-01,5.332427957287464437e-01
5.100000000000000000e+01,8.739457608219314277e-01,9.721051365062081118e-01
5.200000000000000000e+01,4.296418150568966920e-01,1.065122128593642969e-01
