t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.761505795475719616e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.630765806961957054e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.625962378954495691e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.411980422913949873e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.747032008350533516e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.733661419232459977e-01
6.000000000000000000e+00,9.596733584316294308e-02,1.027739362967761139e-01
7.000000000000000000e+00,3.383546645478812120e-01,3.597601206053684386e-01
8.000000000000000000e+00,8.730960635536306746e-01,8.966157132915788530e-01
9.000000000000000000e+00,4.321173767070621841e-01,3.644904235103543222e-01
1.000000000000000000e+01,9.570286028739894979e-01,9.030780631568671168e-01
1.100000000000000000e+01,1.603869390046918919e-01,3.426646854491082195e-01
1.200000000000000000e+01,5.251855783254487653e-01,8.800844061050598910e-01
1.300000000000000000e+01,9.725261779132093887e-01,4.095530680003043322e-01
1.400000000000000000e+01,1.042041436282625522e-01,9.449300792365700197e-01
1.500000000000000000e+01,3.640479963079555903e-01,2.030139855665846760e-01
1.600000000000000000e+01,9.029165054992615014e-01,6.275640220897500399e-01
1.700000000000000000e+01,3.418673294254279682e-01,9.119971935809787489e-01
1.800000000000000000e+01,8.774768281381200019e-01,3.143814292410223032e-01
1.900000000000000000e+01,4.192938524532584532e-01,8.395630582701216760e-01
2.000000000000000000e+01,9.495974192178379125e-01,5.262427193826395566e-01
2.100000000000000000e+01,1.866624264673728828e-01,9.756051776326630787e-01
2.200000000000000000e+01,5.920963035494734017e-01,9.060374781080948736e-02
2.300000000000000000e+01,9.419212564028406343e-01,3.259126025786862613e-01
2.400000000000000000e+01,2.133518522434056652e-01,8.548734064636702712e-01
2.500000000000000000e+01,6.545480736120832255e-01,4.866032313005876908e-01
2.600000000000000000e+01,8.818480824768969439e-01,9.758127101405134063e-01
2.700000000000000000e+01,4.063489634439959586e-01,8.815447973902745815e-02
2.800000000000000000e+01,9.407949850727453933e-01,3.153316934357981438e-01
2.900000000000000000e+01,2.172291464254008375e-01,8.444519723504395614e-01
3.000000000000000000e+01,6.631585130379011872e-01,5.148939650208297358e-01
3.100000000000000000e+01,8.711792685307180317e-01,9.757821682682390474e-01
3.200000000000000000e+01,4.376812073907043743e-01,8.894050019274724050e-02
3.300000000000000000e+01,9.598538355421063484e-01,3.284599467240014725e-01
3.400000000000000000e+01,1.502843547551322712e-01,8.508107148882668724e-01
3.500000000000000000e+01,4.980259731367667198e-01,4.918375131022854063e-01
3.600000000000000000e+01,9.749848025499787685e-01,9.795142951499080652e-01
3.700000000000000000e+01,9.511880565157496137e-02,8.371533475774572963e-02
3.800000000000000000e+01,3.356777520056721809e-01,3.085526137021896709e-01
3.900000000000000000e+01,8.696929753749534919e-01,8.201335588683300593e-01
4.000000000000000000e+01,4.419757054378147254e-01,5.752491130906096650e-01
4.100000000000000000e+01,9.618694068381868911e-01,9.569461626668767096e-01
4.200000000000000000e+01,1.430389390050714471e-01,1.499492968719686736e-01
4.300000000000000000e+01,4.780573236401621240e-01,5.048485080006677173e-01
4.400000000000000000e+01,9.731222239212528047e-01,9.655303974574156456e-01
4.500000000000000000e+01,1.020059088040508877e-01,1.286356037443741052e-01
4.600000000000000000e+01,3.572427431551311039e-01,4.432222767904314686e-01
4.700000000000000000e+01,8.955194259106997734e-01,9.688529262570395595e-01
4.800000000000000000e+01,3.649010965363548298e-01,1.226316040620223369e-01
4.900000000000000000e+01,9.038183165033907285e-01,4.198855456968715316e-01
5.000000000000000000e+01,3.390299922998326609e-01,9.477854197844819417e-01
5.100000000000000000e+01,8.739457608219314277e-01,1.950095803407880801e-01
5.200000000000000000e+01,4.296418150568966920e-01,6.133674041151500056e-01
5.300000000000000000e+01,9.556939306648969401e-01,9.243103125046485680e-01
