t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.676054983307269097e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.419332749492555834e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.703945998776335458e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.121746630784743459e-01
4.000000000000000000e+00,5.079143332408205813e-01,3.870732148342215240e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.260975962201101197e-01
6.000000000000000000e+00,9.596733584316294308e-02,2.676122628139552262e-01
7.000000000000000000e+00,3.383546645478812120e-01,7.651496364980268083e-01
8.000000000000000000e+00,8.730960635536306746e-01,7.020307760423083465e-01
9.000000000000000000e+00,4.321173767070621841e-01,8.159818943772627620e-01
1.000000000000000000e+01,9.570286028739894979e-01,5.819288388918479882e-01
1.100000000000000000e+01,1.603869390046918919e-01,9.492610742103000376e-01
1.200000000000000000e+01,5.251855783254487653e-01,1.875626862340507017e-01
1.300000000000000000e+01,9.725261779132093887e-01,5.934473163120790318e-01
1.400000000000000000e+01,1.042041436282625522e-01,9.400398456712357742e-01
1.500000000000000000e+01,3.640479963079555903e-01,2.218905398710457888e-01
1.600000000000000000e+01,9.029165054992615014e-01,6.690270688772006480e-01
1.700000000000000000e+01,3.418673294254279682e-01,8.628761167899625661e-01
1.800000000000000000e+01,8.774768281381200019e-01,4.609610699060535666e-01
1.900000000000000000e+01,4.192938524532584532e-01,9.683256749007362885e-01
2.000000000000000000e+01,9.495974192178379125e-01,1.194345745243765577e-01
2.100000000000000000e+01,1.866624264673728828e-01,4.122103901547622407e-01
2.200000000000000000e+01,5.920963035494734017e-01,9.438577001784400622e-01
2.300000000000000000e+01,9.419212564028406343e-01,2.060078961856950386e-01
2.400000000000000000e+01,2.133518522434056652e-01,6.376141207228789298e-01
2.500000000000000000e+01,6.545480736120832255e-01,9.018736376641891539e-01
2.600000000000000000e+01,8.818480824768969439e-01,3.443189450276875618e-01
2.700000000000000000e+01,4.063489634439959586e-01,8.800062230684781994e-01
2.800000000000000000e+01,9.407949850727453933e-01,4.117052056653438541e-01
2.900000000000000000e+01,2.172291464254008375e-01,9.465625535669044410e-01
3.000000000000000000e+01,6.631585130379011872e-01,1.979225947206160185e-01
3.100000000000000000e+01,8.711792685307180317e-01,6.175977542257631292e-01
3.200000000000000000e+01,4.376812073907043743e-01,9.216643666221697728e-01
3.300000000000000000e+01,9.598538355421063484e-01,2.803568236898712485e-01
3.400000000000000000e+01,1.502843547551322712e-01,7.862000183468085268e-01
3.500000000000000000e+01,4.980259731367667198e-01,6.561640613458159521e-01
3.600000000000000000e+01,9.749848025499787685e-01,8.817042450213481430e-01
3.700000000000000000e+01,9.511880565157496137e-02,4.069766469201105963e-01
3.800000000000000000e+01,3.356777520056721809e-01,9.411915228665836963e-01
3.900000000000000000e+01,8.696929753749534919e-01,2.163882944455215451e-01
4.000000000000000000e+01,4.419757054378147254e-01,6.607468251901638112e-01
4.100000000000000000e+01,9.618694068381868911e-01,8.740836427915690265e-01
4.200000000000000000e+01,1.430389390050714471e-01,4.295692040481942087e-01
4.300000000000000000e+01,4.780573236401621240e-01,9.583107872265061999e-01
4.400000000000000000e+01,9.731222239212528047e-01,1.560619275190715527e-01
4.500000000000000000e+01,1.020059088040508877e-01,5.114767964932758204e-01
4.600000000000000000e+01,3.572427431551311039e-01,9.728119889006698884e-01
4.700000000000000000e+01,8.955194259106997734e-01,1.019338281180885986e-01
4.800000000000000000e+01,3.649010965363548298e-01,3.584639309342882996e-01
4.900000000000000000e+01,9.038183165033907285e-01,8.960420034828997515e-01
5.000000000000000000e+01,3.390299922998326609e-01,3.605174681445246776e-01
5.100000000000000000e+01,8.739457608219314277e-01,9.006964209114478592e-01
5.200000000000000000e+01,4.296418150568966920e-01,3.502869548215370443e-01
5.300000000000000000e+01,9.556939306648969401e-01,8.881710269332279140e-01
5.400000000000000000e+01,1.651378620651867968e-01,3.846338484629425736e-01
5.500000000000000000e+01,5.376826594531319836e-01,9.221057227366911135e-01
5.600000000000000000e+01,9.694620669885032349e-01,2.797969561370781122e-01
5.700000000000000000e+01,1.154609338696401949e-01,7.831481561062432206e-01
5.800000000000000000e+01,3.983058558164039864e-01,6.610113020101504588e-01
5.900000000000000000e+01,9.346673740511872719e-01,8.755641879278837081e-01
6.000000000000000000e+01,2.381506683482364495e-01,4.232077750625169443e-01
6.100000000000000000e+01,7.075962173027464663e-01,9.506393271846205195e-01
6.200000000000000000e+01,8.069248611902043455e-01,1.846160290605771692e-01
6.300000000000000000e+01,6.076088053751578233e-01,5.889191842247241127e-01
6.400000000000000000e+01,9.298393455223523674e-01,9.465708601068083539e-01
6.500000000000000000e+01,2.544287344595715372e-01,1.992689493826205194e-01
6.600000000000000000e+01,7.398095388094022562e-01,6.243641514572297879e-01
6.700000000000000000e+01,7.507164018744849621e-01,9.152664244600448029e-01
6.800000000000000000e+01,7.298510147413357352e-01,3.038895101773722018e-01
