t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.696281098396470455e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.485464952833454255e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.665913709231128692e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.282279756273085880e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.360759896008437053e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.588124077221920061e-01
6.000000000000000000e+00,9.596733584316294308e-02,1.559203435227782819e-01
7.000000000000000000e+00,3.383546645478812120e-01,5.127621771374406556e-01
8.000000000000000000e+00,8.730960635536306746e-01,9.770561607155530126e-01
9.000000000000000000e+00,4.321173767070621841e-01,9.167307438757887894e-02
1.000000000000000000e+01,9.570286028739894979e-01,3.265174780134887378e-01
1.100000000000000000e+01,1.603869390046918919e-01,8.587083001169579788e-01
1.200000000000000000e+01,5.251855783254487653e-01,4.738542924304081083e-01
1.300000000000000000e+01,9.725261779132093887e-01,9.698613555956931975e-01
1.400000000000000000e+01,1.042041436282625522e-01,1.165085752075532000e-01
1.500000000000000000e+01,3.640479963079555903e-01,4.003122077528726841e-01
1.600000000000000000e+01,9.029165054992615014e-01,9.403723769819904987e-01
1.700000000000000000e+01,3.418673294254279682e-01,2.202177315299982396e-01
1.800000000000000000e+01,8.774768281381200019e-01,6.738487468425580218e-01
1.900000000000000000e+01,4.192938524532584532e-01,8.519267091752205090e-01
2.000000000000000000e+01,9.495974192178379125e-01,4.910671266010595559e-01
2.100000000000000000e+01,1.866624264673728828e-01,9.763658977252251958e-01
2.200000000000000000e+01,5.920963035494734017e-01,8.996776606257572695e-02
2.300000000000000000e+01,9.419212564028406343e-01,3.222428753957093939e-01
2.400000000000000000e+01,2.133518522434056652e-01,8.516290263704267005e-01
2.500000000000000000e+01,6.545480736120832255e-01,4.934022800900184080e-01
2.600000000000000000e+01,8.818480824768969439e-01,9.711366219766102148e-01
2.700000000000000000e+01,4.063489634439959586e-01,1.122773264904992629e-01
2.800000000000000000e+01,9.407949850727453933e-01,3.915430375544950437e-01
2.900000000000000000e+01,2.172291464254008375e-01,9.303743280492593470e-01
3.000000000000000000e+01,6.631585130379011872e-01,2.545362267319672966e-01
3.100000000000000000e+01,8.711792685307180317e-01,7.442330061937649788e-01
3.200000000000000000e+01,4.376812073907043743e-01,7.381151581851082000e-01
3.300000000000000000e+01,9.598538355421063484e-01,7.502660355494175093e-01
3.400000000000000000e+01,1.502843547551322712e-01,7.260290044434745127e-01
3.500000000000000000e+01,4.980259731367667198e-01,7.718764967363211937e-01
3.600000000000000000e+01,9.749848025499787685e-01,6.851916568838367638e-01
3.700000000000000000e+01,9.511880565157496137e-02,8.412938562328990955e-01
3.800000000000000000e+01,3.356777520056721809e-01,5.212593745828026925e-01
3.900000000000000000e+01,8.696929753749534919e-01,9.746979369337109844e-01
4.000000000000000000e+01,4.419757054378147254e-01,9.694640368414564335e-02
