t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.715475341045333835e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.516837901545201817e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.645430776058780964e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.389560906744744528e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.609263799668035233e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.732743945767730054e-01
6.000000000000000000e+00,9.596733584316294308e-02,9.941243663273091613e-02
7.000000000000000000e+00,3.383546645478812120e-01,3.433509499973510515e-01
8.000000000000000000e+00,8.730960635536306746e-01,8.866292964175812585e-01
9.000000000000000000e+00,4.321173767070621841e-01,3.861322673768974312e-01
1.000000000000000000e+01,9.570286028739894979e-01,9.281738183356722516e-01
1.100000000000000000e+01,1.603869390046918919e-01,2.584902268712596651e-01
1.200000000000000000e+01,5.251855783254487653e-01,7.462000104534816103e-01
1.300000000000000000e+01,9.725261779132093887e-01,7.379867551552443672e-01
1.400000000000000000e+01,1.042041436282625522e-01,7.554132114489107153e-01
1.500000000000000000e+01,3.640479963079555903e-01,7.213481798665561939e-01
1.600000000000000000e+01,9.029165054992615014e-01,7.846457860395261719e-01
1.700000000000000000e+01,3.418673294254279682e-01,6.563326896845893543e-01
1.800000000000000000e+01,8.774768281381200019e-01,8.845891115629527235e-01
1.900000000000000000e+01,4.192938524532584532e-01,3.955024800352155978e-01
2.000000000000000000e+01,9.495974192178379125e-01,9.308841683795243682e-01
2.100000000000000000e+01,1.866624264673728828e-01,2.480735787124821456e-01
2.200000000000000000e+01,5.920963035494734017e-01,7.251218202362004206e-01
2.300000000000000000e+01,9.419212564028406343e-01,7.785531480632119639e-01
2.400000000000000000e+01,2.133518522434056652e-01,6.715455200811213388e-01
2.500000000000000000e+01,6.545480736120832255e-01,8.602062109039039228e-01
2.600000000000000000e+01,8.818480824768969439e-01,4.628249723881801003e-01
2.700000000000000000e+01,4.063489634439959586e-01,9.727406826375322169e-01
2.800000000000000000e+01,9.407949850727453933e-01,1.039384517413601827e-01
2.900000000000000000e+01,2.172291464254008375e-01,3.620059857896187339e-01
3.000000000000000000e+01,6.631585130379011872e-01,9.027516525375922640e-01
3.100000000000000000e+01,8.711792685307180317e-01,3.393148447084861630e-01
3.200000000000000000e+01,4.376812073907043743e-01,8.764891927643532199e-01
3.300000000000000000e+01,9.598538355421063484e-01,4.221394113066789799e-01
3.400000000000000000e+01,1.502843547551322712e-01,9.562905673189945333e-01
3.500000000000000000e+01,4.980259731367667198e-01,1.625460097451423280e-01
3.600000000000000000e+01,9.749848025499787685e-01,5.290067581959370102e-01
3.700000000000000000e+01,9.511880565157496137e-02,9.758421209015430975e-01
3.800000000000000000e+01,3.356777520056721809e-01,8.902410166862573249e-02
3.900000000000000000e+01,8.696929753749534919e-01,3.207662117269727275e-01
4.000000000000000000e+01,4.419757054378147254e-01,8.497228613985434720e-01
4.100000000000000000e+01,9.618694068381868911e-01,5.028758622811864143e-01
4.200000000000000000e+01,1.430389390050714471e-01,9.716143835907793402e-01
4.300000000000000000e+01,4.780573236401621240e-01,1.096826173735028220e-01
4.400000000000000000e+01,9.731222239212528047e-01,3.833202000093685058e-01
4.500000000000000000e+01,1.020059088040508877e-01,9.174824315776852757e-01
4.600000000000000000e+01,3.572427431551311039e-01,2.992117449102114080e-01
4.700000000000000000e+01,8.955194259106997734e-01,8.117870874228216849e-01
4.800000000000000000e+01,3.649010965363548298e-01,5.973248862875539800e-01
4.900000000000000000e+01,9.038183165033907285e-01,9.397420030728511620e-01
5.000000000000000000e+01,3.390299922998326609e-01,2.172072087283041242e-01
5.100000000000000000e+01,8.739457608219314277e-01,6.729570468380359216e-01
5.200000000000000000e+01,4.296418150568966920e-01,8.572650567890001128e-01
5.300000000000000000e+01,9.556939306648969401e-01,4.724852172556150975e-01
5.400000000000000000e+01,1.651378620651867968e-01,9.723841217695046169e-01
5.500000000000000000e+01,5.376826594531319836e-01,1.093504723260849687e-01
5.600000000000000000e+01,9.694620669885032349e-01,3.811963299902600966e-01
5.700000000000000000e+01,1.154609338696401949e-01,9.189588716285044256e-01
5.800000000000000000e+01,3.983058558164039864e-01,2.880351977133290831e-01
5.900000000000000000e+01,9.346673740511872719e-01,8.006493172947948267e-01
6.000000000000000000e+01,2.381506683482364495e-01,6.210618109420824595e-01
6.100000000000000000e+01,7.075962173027464663e-01,9.213907332338635570e-01
6.200000000000000000e+01,8.069248611902043455e-01,2.803676465962858799e-01
6.300000000000000000e+01,6.076088053751578233e-01,7.861154196433943753e-01
6.400000000000000000e+01,9.298393455223523674e-01,6.570273507770671984e-01
6.500000000000000000e+01,2.544287344595715372e-01,8.819335659235782998e-01
6.600000000000000000e+01,7.398095388094022562e-01,4.019623480775145197e-01
6.700000000000000000e+01,7.507164018744849621e-01,9.400136024052798689e-01
6.800000000000000000e+01,7.298510147413357352e-01,2.175504313740290740e-01
6.900000000000000000e+01,7.689571929872751621e-01,6.584690615127648528e-01
7.000000000000000000e+01,6.928819105275818568e-01,8.796712280334233469e-01
7.100000000000000000e+01,8.299066175057966399e-01,4.111293719930717572e-01
7.200000000000000000e+01,5.505303325309475193e-01,9.480653965611161027e-01
7.300000000000000000e+01,9.650420734278162271e-01,1.900743716451209764e-01
7.400000000000000000e+01,1.315698927736345669e-01,5.973647768778569400e-01
7.500000000000000000e+01,4.456110987477586161e-01,9.420241203985924017e-01
7.600000000000000000e+01,9.634632049402384046e-01,2.101976581948505896e-01
7.700000000000000000e+01,1.372872448994380545e-01,6.489853063273720579e-01
7.800000000000000000e+01,4.619138834207031641e-01,8.880777092688916241e-01
