t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.655276625394730416e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.333161200721878714e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.762638167010120327e-01
3.000000000000000000e+00,1.539283953005147754e-01,9.143297088148827356e-02
4.000000000000000000e+00,5.079143332408205813e-01,3.261604545466934013e-01
5.000000000000000000e+00,9.747557169844776048e-01,8.553868788045733140e-01
6.000000000000000000e+00,9.596733584316294308e-02,4.876556313659836661e-01
7.000000000000000000e+00,3.383546645478812120e-01,9.705934045866211335e-01
8.000000000000000000e+00,8.730960635536306746e-01,1.095532581427143271e-01
9.000000000000000000e+00,4.321173767070621841e-01,3.819167695404512841e-01
1.000000000000000000e+01,9.570286028739894979e-01,9.192845652305532411e-01
1.100000000000000000e+01,1.603869390046918919e-01,2.867332133127309390e-01
1.200000000000000000e+01,5.251855783254487653e-01,7.977034723994709253e-01
1.300000000000000000e+01,9.725261779132093887e-01,6.315018266371303923e-01
1.400000000000000000e+01,1.042041436282625522e-01,9.071663542587327100e-01
1.500000000000000000e+01,3.640479963079555903e-01,3.210461898087189070e-01
1.600000000000000000e+01,9.029165054992615014e-01,8.467395826441457274e-01
1.700000000000000000e+01,3.418673294254279682e-01,4.993626903357952784e-01
1.800000000000000000e+01,8.774768281381200019e-01,9.746473808219651147e-01
1.900000000000000000e+01,4.192938524532584532e-01,1.022233349589569684e-01
2.000000000000000000e+01,9.495974192178379125e-01,3.511467618282946290e-01
2.100000000000000000e+01,1.866624264673728828e-01,8.838266731476309701e-01
2.200000000000000000e+01,5.920963035494734017e-01,3.978713883796487494e-01
2.300000000000000000e+01,9.419212564028406343e-01,9.361090662014106556e-01
2.400000000000000000e+01,2.133518522434056652e-01,2.308523792306260702e-01
2.500000000000000000e+01,6.545480736120832255e-01,6.940193119297575208e-01
2.600000000000000000e+01,8.818480824768969439e-01,8.256471886229199697e-01
2.700000000000000000e+01,4.063489634439959586e-01,5.587229494297893950e-01
2.800000000000000000e+01,9.407949850727453933e-01,9.647563352727850372e-01
2.900000000000000000e+01,2.172291464254008375e-01,1.317885025677547617e-01
3.000000000000000000e+01,6.631585130379011872e-01,4.471811478187088795e-01
3.100000000000000000e+01,8.711792685307180317e-01,9.673095033945386945e-01
3.200000000000000000e+01,4.376812073907043743e-01,1.208240707013317206e-01
3.300000000000000000e+01,9.598538355421063484e-01,4.186025570734539514e-01
3.400000000000000000e+01,1.502843547551322712e-01,9.508568751534873797e-01
3.500000000000000000e+01,4.980259731367667198e-01,1.812217007342322717e-01
3.600000000000000000e+01,9.749848025499787685e-01,5.807727179344706059e-01
3.700000000000000000e+01,9.511880565157496137e-02,9.499790546043307415e-01
3.800000000000000000e+01,3.356777520056721809e-01,1.852450866543264851e-01
3.900000000000000000e+01,8.696929753749534919e-01,5.879006501579606692e-01
4.000000000000000000e+01,4.419757054378147254e-01,9.460053557380181388e-01
4.100000000000000000e+01,9.618694068381868911e-01,2.025179199443130074e-01
4.200000000000000000e+01,1.430389390050714471e-01,6.286985954167665369e-01
4.300000000000000000e+01,4.780573236401621240e-01,9.112450346675053936e-01
4.400000000000000000e+01,9.731222239212528047e-01,3.126626500784546181e-01
4.500000000000000000e+01,1.020059088040508877e-01,8.399036127870882495e-01
4.600000000000000000e+01,3.572427431551311039e-01,5.184627020439940281e-01
4.700000000000000000e+01,8.955194259106997734e-01,9.762179593714819248e-01
4.800000000000000000e+01,3.649010965363548298e-01,9.724645058624759031e-02
4.900000000000000000e+01,9.038183165033907285e-01,3.407324814727274997e-01
5.000000000000000000e+01,3.390299922998326609e-01,8.715328745649220110e-01
5.100000000000000000e+01,8.739457608219314277e-01,4.353325361920248326e-01
5.200000000000000000e+01,4.296418150568966920e-01,9.615105817025391133e-01
5.300000000000000000e+01,9.556939306648969401e-01,1.456514391751912996e-01
5.400000000000000000e+01,1.651378620651867968e-01,4.860891020933326701e-01
