t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.625617533033243411e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.291834967362687436e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.736407545514449424e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.017332259046535015e-01
4.000000000000000000e+00,5.079143332408205813e-01,3.568727894009198209e-01
5.000000000000000000e+00,9.747557169844776048e-01,8.933283669888743006e-01
6.000000000000000000e+00,9.596733584316294308e-02,3.718997027121293542e-01
7.000000000000000000e+00,3.383546645478812120e-01,9.106235233606403412e-01
8.000000000000000000e+00,8.730960635536306746e-01,3.179322081072362138e-01
9.000000000000000000e+00,4.321173767070621841e-01,8.465129327547327165e-01
1.000000000000000000e+01,9.570286028739894979e-01,5.048533976355558117e-01
1.100000000000000000e+01,1.603869390046918919e-01,9.770851771794193397e-01
1.200000000000000000e+01,5.251855783254487653e-01,8.922307254540218224e-02
1.300000000000000000e+01,9.725261779132093887e-01,3.209216100188010401e-01
1.400000000000000000e+01,1.042041436282625522e-01,8.458863765054225325e-01
1.500000000000000000e+01,3.640479963079555903e-01,5.134884884241275316e-01
1.600000000000000000e+01,9.029165054992615014e-01,9.769693997293025234e-01
1.700000000000000000e+01,3.418673294254279682e-01,8.473539544389252498e-02
1.800000000000000000e+01,8.774768281381200019e-01,3.030715673419486222e-01
1.900000000000000000e+01,4.192938524532584532e-01,8.249627204361020816e-01
2.000000000000000000e+01,9.495974192178379125e-01,5.711564529650514643e-01
2.100000000000000000e+01,1.866624264673728828e-01,9.606105195828353871e-01
2.200000000000000000e+01,5.920963035494734017e-01,1.290524974502869071e-01
2.300000000000000000e+01,9.419212564028406343e-01,4.391863205757768895e-01
2.400000000000000000e+01,2.133518522434056652e-01,9.540518824291877031e-01
2.500000000000000000e+01,6.545480736120832255e-01,1.669214583098534987e-01
2.600000000000000000e+01,8.818480824768969439e-01,5.440390089511870642e-01
2.700000000000000000e+01,4.063489634439959586e-01,9.643712120979861524e-01
2.800000000000000000e+01,9.407949850727453933e-01,1.349006165727777429e-01
2.900000000000000000e+01,2.172291464254008375e-01,4.522199567798397268e-01
3.000000000000000000e+01,6.631585130379011872e-01,9.641090958009521650e-01
3.100000000000000000e+01,8.711792685307180317e-01,1.356829028505268653e-01
3.200000000000000000e+01,4.376812073907043743e-01,4.550255419492499342e-01
3.300000000000000000e+01,9.598538355421063484e-01,9.686373811603532502e-01
3.400000000000000000e+01,1.502843547551322712e-01,1.185414193049894038e-01
3.500000000000000000e+01,4.980259731367667198e-01,4.083155662545561171e-01
3.600000000000000000e+01,9.749848025499787685e-01,9.406660103327180167e-01
3.700000000000000000e+01,9.511880565157496137e-02,2.179808257740245558e-01
3.800000000000000000e+01,3.356777520056721809e-01,6.616008843921408200e-01
3.900000000000000000e+01,8.696929753749534919e-01,8.750510531418602689e-01
4.000000000000000000e+01,4.419757054378147254e-01,4.235983064035693246e-01
4.100000000000000000e+01,9.618694068381868911e-01,9.537303156237308954e-01
4.200000000000000000e+01,1.430389390050714471e-01,1.740473984875432478e-01
4.300000000000000000e+01,4.780573236401621240e-01,5.577920086963423785e-01
4.400000000000000000e+01,9.731222239212528047e-01,9.662237918842899731e-01
4.500000000000000000e+01,1.020059088040508877e-01,1.285313876025782065e-01
4.600000000000000000e+01,3.572427431551311039e-01,4.354479461457820832e-01
4.700000000000000000e+01,8.955194259106997734e-01,9.592434759740480210e-01
4.800000000000000000e+01,3.649010965363548298e-01,1.509168378349321493e-01
4.900000000000000000e+01,9.038183165033907285e-01,5.007471380560915009e-01
5.000000000000000000e+01,3.390299922998326609e-01,9.777751985695175563e-01
5.100000000000000000e+01,8.739457608219314277e-01,8.521996223880012877e-02
5.200000000000000000e+01,4.296418150568966920e-01,3.067834513138185670e-01
5.300000000000000000e+01,9.556939306648969401e-01,8.278572113521978082e-01
5.400000000000000000e+01,1.651378620651867968e-01,5.600989278861292497e-01
5.500000000000000000e+01,5.376826594531319836e-01,9.647318589937983191e-01
5.600000000000000000e+01,9.694620669885032349e-01,1.233684965443710979e-01
5.700000000000000000e+01,1.154609338696401949e-01,4.202645159107003536e-01
5.800000000000000000e+01,3.983058558164039864e-01,9.487339951903370761e-01
