t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.699035556684620474e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.522013312938671703e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.650092520608755109e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.317216693823368701e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.452770658347500188e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.634042604785584274e-01
6.000000000000000000e+00,9.596733584316294308e-02,1.396323264319958568e-01
7.000000000000000000e+00,3.383546645478812120e-01,4.686566020919045172e-01
8.000000000000000000e+00,8.730960635536306746e-01,9.756143675542503502e-01
9.000000000000000000e+00,4.321173767070621841e-01,9.810312558063571942e-02
1.000000000000000000e+01,9.570286028739894979e-01,3.409607006889281422e-01
1.100000000000000000e+01,1.603869390046918919e-01,8.768593789863974308e-01
1.200000000000000000e+01,5.251855783254487653e-01,4.209760143091747508e-01
1.300000000000000000e+01,9.725261779132093887e-01,9.533688962770892061e-01
1.400000000000000000e+01,1.042041436282625522e-01,1.755898661127410776e-01
1.500000000000000000e+01,3.640479963079555903e-01,5.673218605681782378e-01
1.600000000000000000e+01,9.029165054992615014e-01,9.585174864691374808e-01
1.700000000000000000e+01,3.418673294254279682e-01,1.579277164579373505e-01
1.800000000000000000e+01,8.774768281381200019e-01,5.187957182808187184e-01
1.900000000000000000e+01,4.192938524532584532e-01,9.731921347620478002e-01
2.000000000000000000e+01,9.495974192178379125e-01,1.089171308686873729e-01
2.100000000000000000e+01,1.866624264673728828e-01,3.779362876342862165e-01
2.200000000000000000e+01,5.920963035494734017e-01,9.161196737542152135e-01
2.300000000000000000e+01,9.419212564028406343e-01,2.940836563087927402e-01
2.400000000000000000e+01,2.133518522434056652e-01,8.109203713871817598e-01
2.500000000000000000e+01,6.545480736120832255e-01,5.966971255219988279e-01
2.600000000000000000e+01,8.818480824768969439e-01,9.347746139073311866e-01
2.700000000000000000e+01,4.063489634439959586e-01,2.386689090751392683e-01
2.800000000000000000e+01,9.407949850727453933e-01,7.109148792414519136e-01
2.900000000000000000e+01,2.172291464254008375e-01,7.972601224480264648e-01
3.000000000000000000e+01,6.631585130379011872e-01,6.319579684004352771e-01
3.100000000000000000e+01,8.711792685307180317e-01,9.072156090791043681e-01
3.200000000000000000e+01,4.376812073907043743e-01,3.306082275007202753e-01
3.300000000000000000e+01,9.598538355421063484e-01,8.622757216424439264e-01
3.400000000000000000e+01,1.502843547551322712e-01,4.597492885290339615e-01
3.500000000000000000e+01,4.980259731367667198e-01,9.671395082207911997e-01
3.600000000000000000e+01,9.749848025499787685e-01,1.221248189608425960e-01
3.700000000000000000e+01,9.511880565157496137e-02,4.191543710115439580e-01
3.800000000000000000e+01,3.356777520056721809e-01,9.518478821771125808e-01
3.900000000000000000e+01,8.696929753749534919e-01,1.777617216784443954e-01
4.000000000000000000e+01,4.419757054378147254e-01,5.677869685543370792e-01
4.100000000000000000e+01,9.618694068381868911e-01,9.571787291221127703e-01
4.200000000000000000e+01,1.430389390050714471e-01,1.628635724676268381e-01
4.300000000000000000e+01,4.780573236401621240e-01,5.310500900437737926e-01
4.400000000000000000e+01,9.731222239212528047e-01,9.709489381122544671e-01
4.500000000000000000e+01,1.020059088040508877e-01,1.120811308009033169e-01
4.600000000000000000e+01,3.572427431551311039e-01,3.861458229263821096e-01
4.700000000000000000e+01,8.955194259106997734e-01,9.226400114480970416e-01
4.800000000000000000e+01,3.649010965363548298e-01,2.756578293228644227e-01
4.900000000000000000e+01,9.038183165033907285e-01,7.825045877009166873e-01
5.000000000000000000e+01,3.390299922998326609e-01,6.622827643903033135e-01
5.100000000000000000e+01,8.739457608219314277e-01,8.708053029281330737e-01
5.200000000000000000e+01,4.296418150568966920e-01,4.352004134615619080e-01
5.300000000000000000e+01,9.556939306648969401e-01,9.619540595941860062e-01
5.400000000000000000e+01,1.651378620651867968e-01,1.483020148926392778e-01
5.500000000000000000e+01,5.376826594531319836e-01,4.910085366640135618e-01
5.600000000000000000e+01,9.694620669885032349e-01,9.781519870741224310e-01
5.700000000000000000e+01,1.154609338696401949e-01,8.669968036083464114e-02
5.800000000000000000e+01,3.983058558164039864e-01,3.065561730414056996e-01
5.900000000000000000e+01,9.346673740511872719e-01,8.283944181039313293e-01
6.000000000000000000e+01,2.381506683482364495e-01,5.596712108912385020e-01
6.100000000000000000e+01,7.075962173027464663e-01,9.559122837187814525e-01
6.200000000000000000e+01,8.069248611902043455e-01,1.545523390035548061e-01
6.300000000000000000e+01,6.076088053751578233e-01,5.080126188855906832e-01
6.400000000000000000e+01,9.298393455223523674e-01,9.720994613535101081e-01
6.500000000000000000e+01,2.544287344595715372e-01,1.023045485016531586e-01
6.600000000000000000e+01,7.398095388094022562e-01,3.595056866388919303e-01
6.700000000000000000e+01,7.507164018744849621e-01,9.039757284669427406e-01
6.800000000000000000e+01,7.298510147413357352e-01,3.381183806529755032e-01
6.900000000000000000e+01,7.689571929872751621e-01,8.713755380695378250e-01
7.000000000000000000e+01,6.928819105275818568e-01,4.351008250338948002e-01
7.100000000000000000e+01,8.299066175057966399e-01,9.591808114377595729e-01
7.200000000000000000e+01,5.505303325309475193e-01,1.563637918339964017e-01
7.300000000000000000e+01,9.650420734278162271e-01,5.123988422425398426e-01
7.400000000000000000e+01,1.315698927736345669e-01,9.776446300407641843e-01
7.500000000000000000e+01,4.456110987477586161e-01,8.608539916278168391e-02
7.600000000000000000e+01,9.634632049402384046e-01,3.052060305703108156e-01
7.700000000000000000e+01,1.372872448994380545e-01,8.250066064388992260e-01
7.800000000000000000e+01,4.619138834207031641e-01,5.655364600100654116e-01
7.900000000000000000e+01,9.693428461232419524e-01,9.566713296700868341e-01
8.000000000000000000e+01,1.158974418924458155e-01,1.563383274427510017e-01
8.100000000000000000e+01,3.996143769354085773e-01,5.116900467255636187e-01
8.200000000000000000e+01,9.356986340595416785e-01,9.708230415961054405e-01
8.300000000000000000e+01,2.346501310867333823e-01,1.092270169110118871e-01
8.400000000000000000e+01,7.003988435640776666e-01,3.823202251840740473e-01
8.500000000000000000e+01,8.183771836429033497e-01,9.254390818552327147e-01
8.600000000000000000e+01,5.796802788488906177e-01,2.694393350737760429e-01
8.700000000000000000e+01,9.502391073339957472e-01,7.670436871604557894e-01
8.800000000000000000e+01,1.844105102856379574e-01,6.957083010332283379e-01
8.900000000000000000e+01,5.865727685291314275e-01,8.218781187343715544e-01
9.000000000000000000e+01,9.457701074218854975e-01,5.690383554414228939e-01
9.100000000000000000e+01,2.000271441834145791e-01,9.617574957345258468e-01
9.200000000000000000e+01,6.240635145156440133e-01,1.497143961989113592e-01
9.300000000000000000e+01,9.149721530275036763e-01,4.961312620731526124e-01
9.400000000000000000e+01,3.034126376257004765e-01,9.747305528061289692e-01
9.500000000000000000e+01,8.242782949233916634e-01,9.713907104956653882e-02
9.600000000000000000e+01,5.648899910221534260e-01,3.390114188976696141e-01
9.700000000000000000e+01,9.585782273540648379e-01,8.770488446701403262e-01
9.800000000000000000e+01,1.548534366475341206e-01,4.211947768214745480e-01
9.900000000000000000e+01,5.104080142433308209e-01,9.509252285575797714e-01
1.000000000000000000e+02,9.745775256340913906e-01,1.796154427626124317e-01
1.010000000000000000e+02,9.662707143579098157e-02,5.748509144549167615e-01
1.020000000000000000e+02,3.404320939559807857e-01,9.539717800361096067e-01
1.030000000000000000e+02,8.756985251068354348e-01,1.694834286090269870e-01
1.040000000000000000e+02,4.245174111069393019e-01,5.480868427977689805e-01
1.050000000000000000e+02,9.527792772186046699e-01,9.687218056434723223e-01
1.060000000000000000e+02,1.754646118734519700e-01,1.216001908797093023e-01
1.070000000000000000e+02,5.642394492288481667e-01,4.187660293698769465e-01
1.080000000000000000e+02,9.589058433348194299e-01,9.482850656853987203e-01
1.090000000000000000e+02,1.536811651173168591e-01,1.877567819874528254e-01
1.100000000000000000e+02,5.072467319614533121e-01,5.957497528227015948e-01
1.110000000000000000e+02,9.747951910159274869e-01,9.419382901116257756e-01
1.120000000000000000e+02,9.582115369378083058e-02,2.121557616651781331e-01
1.130000000000000000e+02,3.378938947744372645e-01,6.498297426486594475e-01
1.140000000000000000e+02,8.725142815295353627e-01,8.871443520114823400e-01
1.150000000000000000e+02,4.338091292204828697e-01,3.889881103671779528e-01
1.160000000000000000e+02,9.579131976392520897e-01,9.279354636047436600e-01
1.170000000000000000e+02,1.572304633684014907e-01,2.594842536062564875e-01
1.180000000000000000e+02,5.167852745537010462e-01,7.455794847143994986e-01
1.190000000000000000e+02,9.739011927768118637e-01,7.390378868181404215e-01
1.200000000000000000e+02,9.912887199038848685e-02,7.526770225888768096e-01
1.210000000000000000e+02,3.482791210403764492e-01,7.283898290451329416e-01
1.220000000000000000e+02,8.852250220621051824e-01,7.710770125000010466e-01
1.230000000000000000e+02,3.962465612712772201e-01,6.869311109944078453e-01
1.240000000000000000e+02,9.330173734126641083e-01,8.398306137480808786e-01
1.250000000000000000e+02,2.437342218589099163e-01,5.222888410910364598e-01
1.260000000000000000e+02,7.188786187195922439e-01,9.731961977158256616e-01
1.270000000000000000e+02,7.881593860428730558e-01,1.032575403998396979e-01
1.280000000000000000e+02,6.511602561180384052e-01,3.656192952130368212e-01
1.290000000000000000e+02,8.858872501842831593e-01,9.024609936948913003e-01
1.300000000000000000e+02,3.942550175663285805e-01,3.426211362792654924e-01
1.310000000000000000e+02,9.313901948913997364e-01,8.800421333939212332e-01
1.320000000000000000e+02,2.492197490310845975e-01,4.089255697737375073e-01
1.330000000000000000e+02,7.297261363234744946e-01,9.450737711653118822e-01
1.340000000000000000e+02,7.691810189305647860e-01,2.039700736220044774e-01
1.350000000000000000e+02,6.924121582852613699e-01,6.323356328309372998e-01
1.360000000000000000e+02,8.306124892416293370e-01,9.080566559881884103e-01
1.370000000000000000e+02,5.487119896340687530e-01,3.242686948963342530e-01
1.380000000000000000e+02,9.657458540569724414e-01,8.540205027120180148e-01
1.390000000000000000e+02,1.290151177720911813e-01,4.872509923156407297e-01
1.400000000000000000e+02,4.382438469175440332e-01,9.739075985299461280e-01
1.410000000000000000e+02,9.601260924701793265e-01,1.033529077983992295e-01
1.420000000000000000e+02,1.493075182096835207e-01,3.606507938102918587e-01
1.430000000000000000e+02,4.953576545414193344e-01,9.013288255436666674e-01
1.440000000000000000e+02,9.749159496517084689e-01,3.435705307209211412e-01
1.450000000000000000e+02,9.537387898902202621e-02,8.790622500348312940e-01
1.460000000000000000e+02,3.364830385628766463e-01,4.134497136464450051e-01
1.470000000000000000e+02,8.707225929572443013e-01,9.478113760931066167e-01
1.480000000000000000e+02,4.390025603771237073e-01,1.939771261076312925e-01
1.490000000000000000e+02,9.604893182018688913e-01,6.061559170273138619e-01
1.500000000000000000e+02,1.480033925057139543e-01,9.327516297516247334e-01
1.510000000000000000e+02,4.917837144188027532e-01,2.438867495161787247e-01
1.520000000000000000e+02,9.747367213398679953e-01,7.195049904383790107e-01
1.530000000000000000e+02,9.603767710474284125e-02,7.859467343604897849e-01
1.540000000000000000e+02,3.385763225561651546e-01,6.556201025331471754e-01
1.550000000000000000e+02,8.733753458059841934e-01,8.820896731357112941e-01
1.560000000000000000e+02,4.313043194626206556e-01,4.012316639540198793e-01
1.570000000000000000e+02,9.565955235544745250e-01,9.367631466760997228e-01
1.580000000000000000e+02,1.619300586930596531e-01,2.323649708042214712e-01
1.590000000000000000e+02,5.292639876604154914e-01,6.964580088526268753e-01
1.600000000000000000e+02,9.716601142022229798e-01,8.257264965844832716e-01
1.610000000000000000e+02,1.073932730159093130e-01,5.612785641069901743e-01
1.620000000000000000e+02,3.738538359146747481e-01,9.630369507265594820e-01
1.630000000000000000e+02,9.129398666175768673e-01,1.393267843771912595e-01
1.640000000000000000e+02,3.099745995756454930e-01,4.659954510507660075e-01
1.650000000000000000e+02,8.341723540548984239e-01,9.693765347549980760e-01
1.660000000000000000e+02,5.394824673630896905e-01,1.125453815042289918e-01
1.670000000000000000e+02,9.689204256065980791e-01,3.919141754536425992e-01
1.680000000000000000e+02,1.174431743508149717e-01,9.330387522253538179e-01
1.690000000000000000e+02,4.042360730819542503e-01,2.448161923570744136e-01
1.700000000000000000e+02,9.392341541748171485e-01,7.200788252613392615e-01
1.710000000000000000e+02,2.225860954446985396e-01,7.835824491312806117e-01
1.720000000000000000e+02,6.748619496815900787e-01,6.570198310429713473e-01
1.730000000000000000e+02,8.557508643588569441e-01,8.775779925478044419e-01
1.740000000000000000e+02,4.814211577809119902e-01,4.149375695130892439e-01
