t,RCoutput
0.000000000000000000e+00,-9.541547952800328858e-01
1.000000000000000000e+00,7.769767948097583421e-03
2.000000000000000000e+00,7.963392980586663228e-01
3.000000000000000000e+00,6.199598886805990361e-02
4.000000000000000000e+00,1.124150751799023684e+00
5.000000000000000000e+00,-8.787962729790352867e-01
6.000000000000000000e+00,3.264359128613434358e-01
7.000000000000000000e+00,6.055445240782275640e-01
8.000000000000000000e+00,4.506096438765370138e-01
9.000000000000000000e+00,7.924874376552402122e-01
1.000000000000000000e+01,2.263581755314714172e-01
1.100000000000000000e+01,1.190794877420322528e+00
1.200000000000000000e+01,-9.390268275641622253e-01
1.300000000000000000e+01,1.053665255554445679e-01
1.400000000000000000e+01,6.992985711443999719e-01
1.500000000000000000e+01,3.160052065147080924e-01
1.600000000000000000e+01,1.053112107529166508e+00
1.700000000000000000e+01,-4.604401808694014164e-01
1.800000000000000000e+01,9.992470233582280148e-01
1.900000000000000000e+01,-5.501483931317716625e-01
2.000000000000000000e+01,8.896167041363844952e-01
2.100000000000000000e+01,-2.603998499647728337e-01
2.200000000000000000e+01,1.151755571931125877e+00
2.300000000000000000e+01,-9.395573286688527759e-01
2.400000000000000000e+01,7.723934302661161766e-02
2.500000000000000000e+01,7.234777796295461805e-01
2.600000000000000000e+01,3.191139824591777696e-01
2.700000000000000000e+01,1.093503444609957853e+00
2.800000000000000000e+01,-5.701781401703223118e-01
2.900000000000000000e+01,8.741242391453141192e-01
3.000000000000000000e+01,-2.080097758605070624e-01
3.100000000000000000e+01,1.192531718544590280e+00
3.200000000000000000e+01,-1.012572205136184067e+00
3.300000000000000000e+01,-1.059041227903620985e-01
3.400000000000000000e+01,7.352901291278632900e-01
3.500000000000000000e+01,2.168464900343751722e-01
3.600000000000000000e+01,1.166183137748620258e+00
3.700000000000000000e+01,-7.692811939908348329e-01
3.800000000000000000e+01,4.852533176501254708e-01
3.900000000000000000e+01,5.360804868225104158e-01
4.000000000000000000e+01,6.965984777089206936e-01
4.100000000000000000e+01,5.165314439549928416e-01
4.200000000000000000e+01,8.503051036660909112e-01
4.300000000000000000e+01,2.155714771692509579e-01
4.400000000000000000e+01,1.176341213360965199e+00
4.500000000000000000e+01,-8.130818516288016440e-01
4.600000000000000000e+01,4.180484004857052405e-01
4.700000000000000000e+01,5.332375335195411736e-01
4.800000000000000000e+01,7.220461487583520466e-01
4.900000000000000000e+01,4.596058522735582130e-01
5.000000000000000000e+01,9.069042818192429856e-01
5.100000000000000000e+01,-2.858063601242388785e-02
5.200000000000000000e+01,1.293366611584708226e+00
5.300000000000000000e+01,-1.333309967872652990e+00
5.400000000000000000e+01,-1.130626675301322326e+00
5.500000000000000000e+01,-9.972189357585525826e-01
5.600000000000000000e+01,-6.844287668410702352e-01
5.700000000000000000e+01,8.388403952612328851e-01
5.800000000000000000e+01,2.966926068308266551e-01
5.900000000000000000e+01,7.339836980671599065e-01
6.000000000000000000e+01,-8.744907412228066779e-01
6.100000000000000000e+01,8.915670820915693184e-01
6.200000000000000000e+01,-6.641143563801854555e-02
6.300000000000000000e+01,6.970345243428681670e-01
6.400000000000000000e+01,-4.040828425986138228e-01
6.500000000000000000e+01,1.637083550015546063e+00
6.600000000000000000e+01,-1.900859930517901475e+00
6.700000000000000000e+01,-3.143652132157039425e+00
6.800000000000000000e+01,-1.226315782045302782e+00
6.900000000000000000e+01,-4.600264290104655096e+00
7.000000000000000000e+01,6.843108088894998886e+00
7.100000000000000000e+01,1.166545648419649517e+01
7.200000000000000000e+01,-6.889914809393715700e-03
7.300000000000000000e+01,1.341297207838243022e+00
7.400000000000000000e+01,-4.258763419349919310e+00
7.500000000000000000e+01,-7.026265004869248543e+00
7.600000000000000000e+01,2.515240564355929465e-01
7.700000000000000000e+01,-2.619755840633097854e+00
7.800000000000000000e+01,6.056015264840571177e+00
7.900000000000000000e+01,1.026096243789821472e+01
8.000000000000000000e+01,-7.466180820709160670e-01
8.100000000000000000e+01,4.238220274760147177e-01
8.200000000000000000e+01,-6.709656958452923092e-01
8.300000000000000000e+01,2.989092457085920529e+00
8.400000000000000000e+01,-2.060715385440376579e+00
8.500000000000000000e+01,-5.408912547015765071e+00
8.600000000000000000e+01,-2.155495240431382520e+00
8.700000000000000000e+01,-7.142623078591204155e+00
8.800000000000000000e+01,7.094008259268198557e+00
8.900000000000000000e+01,1.177888239836478945e+01
9.000000000000000000e+01,2.310591211028851788e-01
9.100000000000000000e+01,1.484535357967514901e+00
9.200000000000000000e+01,-4.451390150509028310e+00
9.300000000000000000e+01,-7.860916580235467244e+00
9.400000000000000000e+01,-1.388578163932256970e-01
9.500000000000000000e+01,-3.572864322828978256e+00
9.600000000000000000e+01,7.314751648695677844e+00
9.700000000000000000e+01,1.176044044420390122e+01
9.800000000000000000e+01,-3.956379383066401800e-01
9.900000000000000000e+01,8.275727605567926304e-01
1.000000000000000000e+02,-2.670775194028976784e+00
1.010000000000000000e+02,-2.064468353148506630e+00
1.020000000000000000e+02,-2.719026970651311270e+00
1.030000000000000000e+02,-1.727646378435583330e+00
1.040000000000000000e+02,-8.809680486260202947e-01
1.050000000000000000e+02,-5.274315541946861252e-01
1.060000000000000000e+02,-1.040129898051215473e+00
1.070000000000000000e+02,-2.802985301330567225e-01
1.080000000000000000e+02,-1.328662581332308079e+00
1.090000000000000000e+02,1.168792170399070685e+00
1.100000000000000000e+02,8.640024533766137438e-01
1.110000000000000000e+02,5.174800294016528301e-01
1.120000000000000000e+02,-4.910911817639183052e-01
1.130000000000000000e+02,-6.047465530651976451e-01
1.140000000000000000e+02,-8.261963190794152645e-01
1.150000000000000000e+02,-5.602778041818972099e-01
1.160000000000000000e+02,-1.090204211180219263e+00
1.170000000000000000e+02,3.115480467178977086e-01
1.180000000000000000e+02,-1.065370642033936832e+00
1.190000000000000000e+02,7.594852064637880318e-01
1.200000000000000000e+02,-6.989760041538914948e-01
1.210000000000000000e+02,-6.414876691216520044e-02
1.220000000000000000e+02,-1.147525434937389566e+00
1.230000000000000000e+02,9.000172984502778917e-01
1.240000000000000000e+02,-2.939174245822937515e-01
1.250000000000000000e+02,-6.560274173699167655e-01
1.260000000000000000e+02,-4.416952531705975460e-01
1.270000000000000000e+02,-9.067783601377357172e-01
1.280000000000000000e+02,-4.128384676474228243e-02
1.290000000000000000e+02,-1.262883505026705766e+00
1.300000000000000000e+02,1.192113444257653754e+00
1.310000000000000000e+02,6.311928966696429555e-01
1.320000000000000000e+02,-9.252460778847204637e-02
1.330000000000000000e+02,-8.155714354328891247e-01
1.340000000000000000e+02,-1.262906552966152063e-01
1.350000000000000000e+02,-1.175863888213656061e+00
1.360000000000000000e+02,9.974526736621047718e-01
1.370000000000000000e+02,5.661187391634570076e-04
1.380000000000000000e+02,-6.809080763444307349e-01
1.390000000000000000e+02,-3.147837322844497798e-01
1.400000000000000000e+02,-1.038774958141120752e+00
1.410000000000000000e+02,4.128850224953248826e-01
1.420000000000000000e+02,-1.064207815772939991e+00
1.430000000000000000e+02,7.078921196142591299e-01
1.440000000000000000e+02,-5.963165684609865735e-01
1.450000000000000000e+02,-2.980426399985889319e-01
1.460000000000000000e+02,-1.046396947565486624e+00
1.470000000000000000e+02,4.325721521351200138e-01
1.480000000000000000e+02,-1.012937793359101502e+00
1.490000000000000000e+02,5.904278813550707383e-01
1.500000000000000000e+02,-8.402334964344071455e-01
1.510000000000000000e+02,1.525610489910578238e-01
1.520000000000000000e+02,-1.209083288663974853e+00
1.530000000000000000e+02,1.079178133160309194e+00
1.540000000000000000e+02,2.706887081172815179e-01
1.550000000000000000e+02,-5.543595930076852252e-01
1.560000000000000000e+02,-4.959381076380315889e-01
1.570000000000000000e+02,-8.436318373312641228e-01
1.580000000000000000e+02,-1.740478449647386849e-01
1.590000000000000000e+02,-1.230975346467594322e+00
1.600000000000000000e+02,1.048336852184327039e+00
1.610000000000000000e+02,1.975402748968848599e-01
1.620000000000000000e+02,-6.596808582924515996e-01
1.630000000000000000e+02,-3.675535830307152807e-01
1.640000000000000000e+02,-9.897002663356082586e-01
1.650000000000000000e+02,2.974039288794751990e-01
1.660000000000000000e+02,-1.202619434872635784e+00
1.670000000000000000e+02,1.123751930415924249e+00
1.680000000000000000e+02,4.101415328977524588e-01
1.690000000000000000e+02,-3.578429588366840441e-01
1.700000000000000000e+02,-7.111081700991710441e-01
1.710000000000000000e+02,-3.690195592553129345e-01
1.720000000000000000e+02,-1.006788731349979926e+00
1.730000000000000000e+02,3.532771616175831575e-01
1.740000000000000000e+02,-1.136184222511573694e+00
1.750000000000000000e+02,9.260510218632718171e-01
1.760000000000000000e+02,-1.370967855490690113e-01
1.770000000000000000e+02,-7.078484306588528341e-01
1.780000000000000000e+02,-3.356499192100725892e-01
1.790000000000000000e+02,-1.050853242851559344e+00
1.800000000000000000e+02,4.494923145763087824e-01
1.810000000000000000e+02,-1.034010377724343455e+00
1.820000000000000000e+02,6.600575306441696100e-01
1.830000000000000000e+02,-7.351150568564109866e-01
1.840000000000000000e+02,-1.781796004383817689e-02
1.850000000000000000e+02,-1.250665839987950889e+00
1.860000000000000000e+02,1.150233890992431895e+00
1.870000000000000000e+02,4.880619058313766523e-01
1.880000000000000000e+02,-3.236780911038046327e-01
1.890000000000000000e+02,-7.257847055870327857e-01
1.900000000000000000e+02,-3.875403408599571442e-01
1.910000000000000000e+02,-9.929812338835304342e-01
1.920000000000000000e+02,2.948483190284916233e-01
1.930000000000000000e+02,-1.107798573908917117e+00
1.940000000000000000e+02,8.721836206782049850e-01
1.950000000000000000e+02,-2.839927726847371048e-01
1.960000000000000000e+02,-6.365591148385387754e-01
1.970000000000000000e+02,-4.667242934103201790e-01
1.980000000000000000e+02,-8.727877565806783089e-01
1.990000000000000000e+02,-7.789215288572171048e-02
2.000000000000000000e+02,-1.274171859082603664e+00
2.010000000000000000e+02,1.240868587267094814e+00
2.020000000000000000e+02,8.169019786027762464e-01
2.030000000000000000e+02,3.186135762238890834e-01
2.040000000000000000e+02,-5.835456034919292989e-01
2.050000000000000000e+02,-3.716478536473015737e-01
2.060000000000000000e+02,-9.285299466039476091e-01
2.070000000000000000e+02,1.806459755661784516e-01
2.080000000000000000e+02,-1.257014070096028391e+00
2.090000000000000000e+02,1.184558359988938214e+00
2.100000000000000000e+02,6.217397852239194833e-01
2.110000000000000000e+02,-9.622383984681670555e-02
2.120000000000000000e+02,-7.633699640399300712e-01
2.130000000000000000e+02,-2.071402430081308310e-01
2.140000000000000000e+02,-1.179649695570457846e+00
2.150000000000000000e+02,8.830472408578495802e-01
2.160000000000000000e+02,-2.478629258018001380e-01
2.170000000000000000e+02,-6.638349919333403903e-01
2.180000000000000000e+02,-4.736466807801456014e-01
2.190000000000000000e+02,-8.968420266072678615e-01
2.200000000000000000e+02,-1.683366913220174510e-02
2.210000000000000000e+02,-1.309165492859200919e+00
2.220000000000000000e+02,1.374745526880761126e+00
2.230000000000000000e+02,1.219221627501220873e+00
2.240000000000000000e+02,1.193065823849914775e+00
2.250000000000000000e+02,1.061019168499533816e+00
2.260000000000000000e+02,-5.416127137241320000e-01
2.270000000000000000e+02,-3.492592994089744884e-01
2.280000000000000000e+02,3.088522977237484479e-01
2.290000000000000000e+02,-1.173817482007946111e-01
2.300000000000000000e+02,5.165092959457107114e-01
2.310000000000000000e+02,-4.220870129260880788e-01
2.320000000000000000e+02,8.287339616601337999e-01
2.330000000000000000e+02,-9.074882108601309838e-01
2.340000000000000000e+02,2.942060938796666747e-01
2.350000000000000000e+02,-2.317145052251516901e-01
2.360000000000000000e+02,7.681187202279030624e-01
2.370000000000000000e+02,-1.177911601016421450e+00
2.380000000000000000e+02,5.976881909870108700e-01
2.390000000000000000e+02,2.106171100418339215e-01
2.400000000000000000e+02,2.598560673043549540e-01
2.410000000000000000e+02,-5.301566969285120834e-01
2.420000000000000000e+02,9.328815026818197964e-01
2.430000000000000000e+02,-7.738048967986248527e-01
2.440000000000000000e+02,1.822489462448810826e-01
2.450000000000000000e+02,-3.780771117439059026e-01
2.460000000000000000e+02,1.236695123604399260e+00
2.470000000000000000e+02,-1.174074772682463852e+00
2.480000000000000000e+02,-3.913101002357279867e-01
2.490000000000000000e+02,2.337677052108850795e-01
2.500000000000000000e+02,4.977200043439229393e-01
2.510000000000000000e+02,-8.744609869741615249e-02
2.520000000000000000e+02,7.112208679021536639e-01
2.530000000000000000e+02,-4.261071174097670333e-01
