t,RCoutput
0.000000000000000000e+00,6.186344060583772730e-01
1.000000000000000000e+00,6.200519027467930044e-01
2.000000000000000000e+00,6.755626200762505640e-01
3.000000000000000000e+00,5.440667849866365202e-01
4.000000000000000000e+00,7.743326257502012311e-01
5.000000000000000000e+00,2.985775919457727134e-01
6.000000000000000000e+00,1.128615220378706985e+00
7.000000000000000000e+00,-6.635413885582943649e-01
8.000000000000000000e+00,6.862210098476051456e-01
9.000000000000000000e+00,1.292336385597407933e-01
1.000000000000000000e+01,1.207000004475264454e+00
1.100000000000000000e+01,-9.171421681090698996e-01
1.200000000000000000e+01,1.776664606239304334e-01
1.300000000000000000e+01,7.334153187439071964e-01
1.400000000000000000e+01,3.354456190590551223e-01
1.500000000000000000e+01,1.075062702884329591e+00
1.600000000000000000e+01,-5.300283763420825522e-01
1.700000000000000000e+01,9.536711546950247254e-01
1.800000000000000000e+01,-4.149351694463918605e-01
1.900000000000000000e+01,1.094917570465681056e+00
2.000000000000000000e+01,-7.743283711319453033e-01
2.100000000000000000e+01,4.895245366713405488e-01
2.200000000000000000e+01,4.585512619767153630e-01
2.300000000000000000e+01,8.508848385170799666e-01
2.400000000000000000e+01,1.070138030971756748e-01
2.500000000000000000e+01,1.254576191957045062e+00
2.600000000000000000e+01,-1.116474824207450034e+00
2.700000000000000000e+01,-4.166704281766415718e-01
2.800000000000000000e+01,4.369607922540650335e-01
2.900000000000000000e+01,5.880603423303876198e-01
3.000000000000000000e+01,6.172440458901515825e-01
3.100000000000000000e+01,5.721946737969645369e-01
3.200000000000000000e+01,6.529847650987976593e-01
3.300000000000000000e+01,5.467080994794981663e-01
3.400000000000000000e+01,7.663603658674986718e-01
3.500000000000000000e+01,3.400010855740189797e-01
3.600000000000000000e+01,1.143014188664849495e+00
3.700000000000000000e+01,-6.382279298232336195e-01
3.800000000000000000e+01,7.581007134973916095e-01
3.900000000000000000e+01,-8.932571761444130232e-03
4.000000000000000000e+01,1.227149213718929932e+00
4.100000000000000000e+01,-1.082586714608959610e+00
4.200000000000000000e+01,-2.602630305580166947e-01
4.300000000000000000e+01,5.824705189463799115e-01
4.400000000000000000e+01,4.542489692385984767e-01
4.500000000000000000e+01,9.407975830859340860e-01
4.600000000000000000e+01,-9.492487127627846633e-03
4.700000000000000000e+01,1.320917891457175308e+00
4.800000000000000000e+01,-1.371891321376195627e+00
4.900000000000000000e+01,-1.249229496287989960e+00
5.000000000000000000e+01,-1.345529791248242901e+00
5.100000000000000000e+01,-1.288349170515019182e+00
5.200000000000000000e+01,-4.021544159010801422e-01
5.300000000000000000e+01,-2.397287669327585746e-01
5.400000000000000000e+01,-3.311765164952440443e-01
