t,RCoutput
0.000000000000000000e+00,1.122704510027671798e+00
1.000000000000000000e+00,-8.357820644154756451e-01
2.000000000000000000e+00,2.777727918991148570e-01
3.000000000000000000e+00,6.297879452178101189e-01
4.000000000000000000e+00,4.791771442236125722e-01
5.000000000000000000e+00,8.190782265123468520e-01
6.000000000000000000e+00,1.598416813812004733e-01
7.000000000000000000e+00,1.188690855837784000e+00
8.000000000000000000e+00,-9.333339996242671077e-01
9.000000000000000000e+00,1.033015618409867109e-01
1.000000000000000000e+01,7.298440076695378309e-01
1.100000000000000000e+01,2.640455294384276286e-01
1.200000000000000000e+01,1.084507214652459695e+00
1.300000000000000000e+01,-5.756662447714298025e-01
1.400000000000000000e+01,8.701805073277339986e-01
1.500000000000000000e+01,-2.262059551961463910e-01
1.600000000000000000e+01,1.172300304663292270e+00
1.700000000000000000e+01,-9.875403812455871844e-01
1.800000000000000000e+01,-2.917510145473656280e-02
1.900000000000000000e+01,7.009479835077057075e-01
2.000000000000000000e+01,3.103948688731552608e-01
2.100000000000000000e+01,1.088678826548976408e+00
2.200000000000000000e+01,-5.423225898726435901e-01
2.300000000000000000e+01,8.971569101492375964e-01
2.400000000000000000e+01,-2.962911757731632179e-01
2.500000000000000000e+01,1.162650309375930391e+00
2.600000000000000000e+01,-9.657655996616814065e-01
2.700000000000000000e+01,4.068098997079427903e-02
2.800000000000000000e+01,7.070994052265335839e-01
2.900000000000000000e+01,3.069415803934196774e-01
3.000000000000000000e+01,1.061762763447968716e+00
3.100000000000000000e+01,-5.290463292337328483e-01
3.200000000000000000e+01,9.169730110589151550e-01
3.300000000000000000e+01,-3.370609638639301409e-01
3.400000000000000000e+01,1.118734572224048041e+00
3.500000000000000000e+01,-8.585707019170847332e-01
3.600000000000000000e+01,2.770298678296700956e-01
3.700000000000000000e+01,6.236065917834370254e-01
3.800000000000000000e+01,5.281556120376160735e-01
3.900000000000000000e+01,7.876627690012165672e-01
4.000000000000000000e+01,2.865519574582044982e-01
4.100000000000000000e+01,1.132058515092102091e+00
4.200000000000000000e+01,-7.008060440100898347e-01
4.300000000000000000e+01,6.565820576121512708e-01
4.400000000000000000e+01,1.809946044333159421e-01
4.500000000000000000e+01,1.127275105372757213e+00
4.600000000000000000e+01,-7.627825798043144090e-01
4.700000000000000000e+01,4.969364154007758216e-01
4.800000000000000000e+01,4.166557910426469391e-01
4.900000000000000000e+01,8.951885985734966411e-01
5.000000000000000000e+01,-6.304445554235371674e-03
5.100000000000000000e+01,1.283338550421989854e+00
5.200000000000000000e+01,-1.277944845757023273e+00
5.300000000000000000e+01,-8.776445119918294679e-01
5.400000000000000000e+01,-4.600886549351930199e-01
5.500000000000000000e+01,4.581355059242859795e-01
5.600000000000000000e+01,6.048549878893663134e-01
5.700000000000000000e+01,6.266233234609748237e-01
5.800000000000000000e+01,6.224471911695115267e-01
5.900000000000000000e+01,6.323402677779839109e-01
6.000000000000000000e+01,6.185228979925447845e-01
6.100000000000000000e+01,6.763415910769756678e-01
6.200000000000000000e+01,5.345615397524774437e-01
6.300000000000000000e+01,8.113454315482471202e-01
6.400000000000000000e+01,2.644169734909667113e-01
6.500000000000000000e+01,1.211690741863954202e+00
6.600000000000000000e+01,-9.111197592947100077e-01
6.700000000000000000e+01,1.974368386085680882e-01
6.800000000000000000e+01,7.225105528308084502e-01
6.900000000000000000e+01,4.259663622725033960e-01
7.000000000000000000e+01,9.921131620708063537e-01
7.100000000000000000e+01,-2.572974868338953058e-01
7.200000000000000000e+01,1.172603046967830132e+00
7.300000000000000000e+01,-1.028324411357834478e+00
7.400000000000000000e+01,-1.505316573835280280e-01
7.500000000000000000e+01,6.351478578601295055e-01
7.600000000000000000e+01,3.552970695774977372e-01
7.700000000000000000e+01,1.004800722495316379e+00
7.800000000000000000e+01,-3.097507861021089326e-01
7.900000000000000000e+01,1.198029800892180141e+00
8.000000000000000000e+01,-1.060437592904710513e+00
8.100000000000000000e+01,-2.405527402696243655e-01
8.200000000000000000e+01,5.991970471617276139e-01
8.300000000000000000e+01,3.932080811645102258e-01
8.400000000000000000e+01,9.202559263154821423e-01
8.500000000000000000e+01,-1.211843888228703037e-01
8.600000000000000000e+01,1.262784808653617752e+00
8.700000000000000000e+01,-1.221155432135434538e+00
8.800000000000000000e+01,-7.357555003510931613e-01
8.900000000000000000e+01,-1.050381946030549685e-01
9.000000000000000000e+01,7.210463925998444878e-01
9.100000000000000000e+01,2.077157149099608802e-01
9.200000000000000000e+01,1.176315896102399172e+00
9.300000000000000000e+01,-7.922402400283612423e-01
9.400000000000000000e+01,4.049660201949243366e-01
9.500000000000000000e+01,5.382586205260135870e-01
9.600000000000000000e+01,6.968908521497203523e-01
9.700000000000000000e+01,4.987016500342447145e-01
9.800000000000000000e+01,8.934411767961556450e-01
9.900000000000000000e+01,8.913784604272123602e-02
1.000000000000000000e+02,1.269016924269029012e+00
