t,RCoutput
0.000000000000000000e+00,1.062468245790348931e+00
1.000000000000000000e+00,-5.047613612370591696e-01
2.000000000000000000e+00,9.741390118992665492e-01
3.000000000000000000e+00,-5.138398017627223702e-01
4.000000000000000000e+00,9.452451777082320206e-01
5.000000000000000000e+00,-4.169898577995542199e-01
6.000000000000000000e+00,1.030264769523245860e+00
7.000000000000000000e+00,-6.330561150994427067e-01
8.000000000000000000e+00,7.397302466043029767e-01
9.000000000000000000e+00,4.634859360387544314e-02
1.000000000000000000e+01,1.234336387704838334e+00
1.100000000000000000e+01,-1.093509267625703885e+00
1.200000000000000000e+01,-3.112258119767368214e-01
1.300000000000000000e+01,5.421982070341133664e-01
1.400000000000000000e+01,4.922768958358449964e-01
1.500000000000000000e+01,8.356713396502071234e-01
1.600000000000000000e+01,1.979747314084550069e-01
1.700000000000000000e+01,1.216506749776706364e+00
1.800000000000000000e+01,-9.953130997525754253e-01
1.900000000000000000e+01,-8.189536614182557628e-02
2.000000000000000000e+01,6.994746127477977637e-01
2.100000000000000000e+01,2.937141913626044598e-01
2.200000000000000000e+01,1.083001529995355483e+00
2.300000000000000000e+01,-5.763685650889778245e-01
2.400000000000000000e+01,8.493995102314446655e-01
2.500000000000000000e+01,-2.003694363276689039e-01
2.600000000000000000e+01,1.215975216110176227e+00
2.700000000000000000e+01,-1.102053720236721102e+00
2.800000000000000000e+01,-3.141785487769510610e-01
2.900000000000000000e+01,4.967907522479819704e-01
3.000000000000000000e+01,5.542228179127475229e-01
3.100000000000000000e+01,6.873225997364116324e-01
3.200000000000000000e+01,4.896038616701492430e-01
3.300000000000000000e+01,8.628707371407968729e-01
3.400000000000000000e+01,9.109938311407095313e-02
3.500000000000000000e+01,1.258965062424531212e+00
3.600000000000000000e+01,-1.154852780772148257e+00
3.700000000000000000e+01,-4.927056842945738424e-01
3.800000000000000000e+01,2.898951225904635720e-01
3.900000000000000000e+01,7.676772512832035211e-01
4.000000000000000000e+01,2.998703639132598298e-01
4.100000000000000000e+01,1.113963432421266830e+00
4.200000000000000000e+01,-6.142681128070721641e-01
4.300000000000000000e+01,7.390861625096789567e-01
4.400000000000000000e+01,1.471597930957579958e-02
4.500000000000000000e+01,1.242408448699705126e+00
4.600000000000000000e+01,-1.146290147265669468e+00
4.700000000000000000e+01,-4.720363522450021776e-01
4.800000000000000000e+01,3.203758357182362460e-01
4.900000000000000000e+01,7.294617201786808280e-01
5.000000000000000000e+01,3.352721022795916994e-01
5.100000000000000000e+01,1.046977559308101435e+00
5.200000000000000000e+01,-4.129328077199714286e-01
5.300000000000000000e+01,9.753821081782270142e-01
5.400000000000000000e+01,-5.682207769071174752e-01
5.500000000000000000e+01,9.167377950412465282e-01
5.600000000000000000e+01,-3.759187937391613721e-01
5.700000000000000000e+01,1.102695530141316382e+00
5.800000000000000000e+01,-8.487228011258771687e-01
5.900000000000000000e+01,2.767095138606237015e-01
6.000000000000000000e+01,6.122253920911377989e-01
6.100000000000000000e+01,5.243254773415753078e-01
6.200000000000000000e+01,8.117886305606618613e-01
6.300000000000000000e+01,2.328021308905743325e-01
6.400000000000000000e+01,1.196787845709044618e+00
6.500000000000000000e+01,-9.309677187840925683e-01
6.600000000000000000e+01,1.315415268652770919e-01
6.700000000000000000e+01,7.342993007224638546e-01
6.800000000000000000e+01,3.140069238654707995e-01
6.900000000000000000e+01,1.103779213983562713e+00
7.000000000000000000e+01,-5.818191434201298584e-01
7.100000000000000000e+01,8.352986124175938443e-01
7.200000000000000000e+01,-1.375474689596118960e-01
7.300000000000000000e+01,1.249777374823380249e+00
7.400000000000000000e+01,-1.192888503607439254e+00
7.500000000000000000e+01,-6.096033687269368784e-01
7.600000000000000000e+01,8.900121968011021067e-02
7.700000000000000000e+01,8.230901638846246371e-01
7.800000000000000000e+01,7.891184832176456609e-02
7.900000000000000000e+01,1.233517461137702664e+00
8.000000000000000000e+01,-1.100165585376982946e+00
8.100000000000000000e+01,-4.085129158270603966e-01
8.200000000000000000e+01,3.677029496284554000e-01
8.300000000000000000e+01,6.188930918700750183e-01
8.400000000000000000e+01,4.662511628616341497e-01
8.500000000000000000e+01,6.923964200919927592e-01
8.600000000000000000e+01,3.016437913021268180e-01
8.700000000000000000e+01,1.177924397928265865e+00
8.800000000000000000e+01,-7.456141674212668491e-01
8.900000000000000000e+01,5.049339150843152879e-01
9.000000000000000000e+01,4.591390412824791767e-01
9.100000000000000000e+01,8.372957120899754413e-01
9.200000000000000000e+01,1.998747259888560279e-01
9.300000000000000000e+01,1.194937986442861977e+00
9.400000000000000000e+01,-9.455357267966069124e-01
9.500000000000000000e+01,1.065470174277329818e-01
9.600000000000000000e+01,7.312008581582425393e-01
9.700000000000000000e+01,3.139814368419209245e-01
9.800000000000000000e+01,1.119950933164711060e+00
9.900000000000000000e+01,-6.121148402482115003e-01
1.000000000000000000e+02,7.798628156417439783e-01
1.010000000000000000e+02,-1.223044077040968958e-02
1.020000000000000000e+02,1.249909678939415514e+00
1.030000000000000000e+02,-1.170185075876316816e+00
1.040000000000000000e+02,-5.292715243458410157e-01
1.050000000000000000e+02,2.472037862945697384e-01
1.060000000000000000e+02,7.778178296667483949e-01
1.070000000000000000e+02,2.212713709043949706e-01
1.080000000000000000e+02,1.142145610647671727e+00
1.090000000000000000e+02,-7.585318496588548953e-01
1.100000000000000000e+02,3.647793715254401548e-01
1.110000000000000000e+02,5.413613242797428171e-01
1.120000000000000000e+02,6.427835047277326019e-01
1.130000000000000000e+02,5.198575425221365620e-01
1.140000000000000000e+02,8.108803662924373157e-01
1.150000000000000000e+02,2.522221741708801090e-01
1.160000000000000000e+02,1.207565913522316237e+00
1.170000000000000000e+02,-9.300132011540682697e-01
1.180000000000000000e+02,1.287634461463440516e-01
1.190000000000000000e+02,7.168500701172320078e-01
1.200000000000000000e+02,3.531964657399422336e-01
1.210000000000000000e+02,1.064236346519074949e+00
1.220000000000000000e+02,-4.769909483177725562e-01
1.230000000000000000e+02,9.805377502660199696e-01
1.240000000000000000e+02,-4.734292567766689164e-01
1.250000000000000000e+02,9.923298795983424014e-01
1.260000000000000000e+02,-5.178712158606249005e-01
1.270000000000000000e+02,9.224495466729702997e-01
1.280000000000000000e+02,-3.725014560006574271e-01
1.290000000000000000e+02,1.060121059567313395e+00
1.300000000000000000e+02,-7.019906024654138932e-01
1.310000000000000000e+02,6.174040243234877323e-01
1.320000000000000000e+02,2.494999628090488475e-01
1.330000000000000000e+02,1.099180398009353077e+00
1.340000000000000000e+02,-6.384357655568333456e-01
1.350000000000000000e+02,7.416602044135984784e-01
1.360000000000000000e+02,1.597848815926017352e-02
1.370000000000000000e+02,1.247725878955773915e+00
1.380000000000000000e+02,-1.164930204024551053e+00
1.390000000000000000e+02,-5.310688990171641422e-01
1.400000000000000000e+02,2.634277145165597744e-01
1.410000000000000000e+02,7.771608829198228818e-01
1.420000000000000000e+02,2.362247685283751508e-01
1.430000000000000000e+02,1.131801560587522459e+00
1.440000000000000000e+02,-7.009768907823010764e-01
1.450000000000000000e+02,4.860759129457612460e-01
1.460000000000000000e+02,4.061522964611792297e-01
1.470000000000000000e+02,8.707126234732518455e-01
1.480000000000000000e+02,-7.275499884467295786e-03
1.490000000000000000e+02,1.300144892471687186e+00
1.500000000000000000e+02,-1.287036837599402794e+00
1.510000000000000000e+02,-9.529753298956862295e-01
1.520000000000000000e+02,-5.831029540863177374e-01
1.530000000000000000e+02,2.339910587132463249e-01
1.540000000000000000e+02,8.053836143937704861e-01
1.550000000000000000e+02,3.838503028911812720e-01
1.560000000000000000e+02,1.282157958937395037e+00
1.570000000000000000e+02,-6.706336007031108437e-01
1.580000000000000000e+02,4.153026133254460461e-01
1.590000000000000000e+02,5.347901169550279832e-01
1.600000000000000000e+02,5.479106437906509086e-01
1.610000000000000000e+02,7.207141099604568169e-01
1.620000000000000000e+02,4.376336317881586169e-01
1.630000000000000000e+02,9.295871385687783928e-01
1.640000000000000000e+02,-5.806673452259181190e-02
1.650000000000000000e+02,1.300653397869625749e+00
1.660000000000000000e+02,-1.308070309825200894e+00
1.670000000000000000e+02,-1.022141396783410983e+00
1.680000000000000000e+02,-7.833245849269943051e-01
1.690000000000000000e+02,-8.733362440658343218e-02
1.700000000000000000e+02,1.022629311859304835e+00
1.710000000000000000e+02,2.119136130671641638e-01
1.720000000000000000e+02,1.615468985132440416e+00
1.730000000000000000e+02,-1.397842451963287047e+00
1.740000000000000000e+02,-1.418641477139903628e+00
1.750000000000000000e+02,-1.084556848308778854e+00
1.760000000000000000e+02,-1.518950270150080328e+00
1.770000000000000000e+02,1.532589713799652920e+00
1.780000000000000000e+02,2.248862991694490887e+00
1.790000000000000000e+02,3.579161426341993746e+00
1.800000000000000000e+02,1.757548350380954361e+00
1.810000000000000000e+02,9.131572611992559985e-01
1.820000000000000000e+02,-3.060445671262530087e+00
1.830000000000000000e+02,-6.002393170883820517e+00
1.840000000000000000e+02,-4.446584989112565722e+00
1.850000000000000000e+02,1.634422993579001115e-01
1.860000000000000000e+02,5.029076666049459021e-01
1.870000000000000000e+02,9.887009613456303470e-01
1.880000000000000000e+02,1.269039771059066624e+00
1.890000000000000000e+02,1.014725730712434881e+00
1.900000000000000000e+02,8.817629828678903436e-01
1.910000000000000000e+02,-8.955677965784278882e-01
1.920000000000000000e+02,-3.302830977072268581e-01
1.930000000000000000e+02,-5.451141351226276299e-01
1.940000000000000000e+02,6.312304025027284382e-01
1.950000000000000000e+02,-6.189144035299714020e-01
1.960000000000000000e+02,1.360316912035326453e-01
1.970000000000000000e+02,-1.341846696177156018e+00
1.980000000000000000e+02,7.017391028997579383e-01
1.990000000000000000e+02,-1.697754303442113866e-01
2.000000000000000000e+02,-5.395569601108487490e-01
2.010000000000000000e+02,-6.666355589297063844e-01
2.020000000000000000e+02,-6.920614391990898007e-01
2.030000000000000000e+02,-5.879107954567932559e-01
2.040000000000000000e+02,-7.908863584869942898e-01
2.050000000000000000e+02,-3.044759783090422722e-01
2.060000000000000000e+02,-1.127885668298051591e+00
2.070000000000000000e+02,6.694488983593394060e-01
2.080000000000000000e+02,-6.426404774911560480e-01
2.090000000000000000e+02,-1.893069196734167292e-01
2.100000000000000000e+02,-1.089306003002607159e+00
2.110000000000000000e+02,6.833312307438825783e-01
2.120000000000000000e+02,-6.416092474871142315e-01
2.130000000000000000e+02,-2.247179310958884457e-01
2.140000000000000000e+02,-1.095767345844026242e+00
2.150000000000000000e+02,6.342105816617085168e-01
2.160000000000000000e+02,-7.540422377597764125e-01
2.170000000000000000e+02,2.339539222835362864e-02
2.180000000000000000e+02,-1.248715941804681151e+00
2.190000000000000000e+02,1.160700424891826454e+00
2.200000000000000000e+02,5.312684315670281876e-01
2.210000000000000000e+02,-2.790114103251308819e-01
2.220000000000000000e+02,-7.679105137875756881e-01
2.230000000000000000e+02,-2.610601930812892491e-01
2.240000000000000000e+02,-1.103740199756336970e+00
2.250000000000000000e+02,6.191296841588940225e-01
2.260000000000000000e+02,-6.539276365856867557e-01
2.270000000000000000e+02,-1.379000947553165046e-01
2.280000000000000000e+02,-1.171848867863477750e+00
2.290000000000000000e+02,9.184022097370831972e-01
2.300000000000000000e+02,-1.383269298051175156e-01
2.310000000000000000e+02,-6.927297852859100047e-01
2.320000000000000000e+02,-3.383875578638120274e-01
2.330000000000000000e+02,-9.883620566202013791e-01
2.340000000000000000e+02,3.168980442023383581e-01
2.350000000000000000e+02,-1.203624326572768410e+00
2.360000000000000000e+02,1.120497114125567517e+00
2.370000000000000000e+02,3.822574266306517643e-01
2.380000000000000000e+02,-4.396534362766271187e-01
2.390000000000000000e+02,-6.145996534895390440e-01
