t,original,RCoutput
0.000000000000000000e+00,1.755190162801700537e-01,1.703697765216247717e-01
1.000000000000000000e+00,5.643771556964246594e-01,5.481258789036349555e-01
2.000000000000000000e+00,9.588367691153093508e-01,9.689375679629392835e-01
3.000000000000000000e+00,1.539283953005147754e-01,1.192610870078745222e-01
4.000000000000000000e+00,5.079143332408205813e-01,4.108676387320464585e-01
5.000000000000000000e+00,9.747557169844776048e-01,9.450515060247752785e-01
6.000000000000000000e+00,9.596733584316294308e-02,1.999230244365470810e-01
7.000000000000000000e+00,3.383546645478812120e-01,6.216564319166240082e-01
8.000000000000000000e+00,8.730960635536306746e-01,9.209923458347937242e-01
9.000000000000000000e+00,4.321173767070621841e-01,2.829607774695688249e-01
1.000000000000000000e+01,9.570286028739894979e-01,7.925753518020890453e-01
1.100000000000000000e+01,1.603869390046918919e-01,6.413237972306973234e-01
1.200000000000000000e+01,5.251855783254487653e-01,8.974759671410907913e-01
1.300000000000000000e+01,9.725261779132093887e-01,3.556936511268329326e-01
1.400000000000000000e+01,1.042041436282625522e-01,8.930419819899828582e-01
1.500000000000000000e+01,3.640479963079555903e-01,3.660219491350691357e-01
1.600000000000000000e+01,9.029165054992615014e-01,9.090542724448429368e-01
1.700000000000000000e+01,3.418673294254279682e-01,3.233646219297163782e-01
1.800000000000000000e+01,8.774768281381200019e-01,8.533401544115566395e-01
1.900000000000000000e+01,4.192938524532584532e-01,4.890807594419896986e-01
2.000000000000000000e+01,9.495974192178379125e-01,9.762929355942482346e-01
2.100000000000000000e+01,1.866624264673728828e-01,9.268976648608884261e-02
2.200000000000000000e+01,5.920963035494734017e-01,3.305604479677652918e-01
2.300000000000000000e+01,9.419212564028406343e-01,8.558220833891176937e-01
2.400000000000000000e+01,2.133518522434056652e-01,4.905500616889177934e-01
2.500000000000000000e+01,6.545480736120832255e-01,9.743150067770418588e-01
2.600000000000000000e+01,8.818480824768969439e-01,9.851501510311777565e-02
2.700000000000000000e+01,4.063489634439959586e-01,3.465878812504845641e-01
2.800000000000000000e+01,9.407949850727453933e-01,8.771217920107146071e-01
2.900000000000000000e+01,2.172291464254008375e-01,4.207181955064012158e-01
3.000000000000000000e+01,6.631585130379011872e-01,9.513982471262849572e-01
